Zip Code,City,Pills
90804,LONG BEACH,1068570
92509,RIVERSIDE,1067520
94901,SAN RAFAEL,1067220
92618,IRVINE,1055650
94566,PLEASANTON,1055140
91307,WEST HILLS,1051410
91350,SAUGUS,1049600
93455,ORCUTT,1047790
92869,ORANGE,1043200
95472,SEBASTOPOL,1040180
94559,NAPA,1038050
93618,DINUBA,1036180
95123,SAN JOSE,1034300
92653,LAGUNA HILLS,1033869
90602,WHITTIER,1031210
91320,NEWBURY PARK,1029410
92692,MISSION VIEJO,1020000
95831,SACRAMENTO,1016160
94530,EL CERRITO,1013000
92673,SAN CLEMENTE,1011475
92411,SAN BERNARDINO,1010990
95963,ORLAND,1010000
92203,BERMUDA DUNES,1005710
94591,VALLEJO,1003360
90025,LOS ANGELES,1002520
94577,SAN LEANDRO,1000100
92227,BRAWLEY,993660
93117,GOLETA,989610
95835,SACRAMENTO,989540
92821,BREA,988320
91740,GLENDORA,985330
95252,VALLEY SPRINGS,980600
92240,DESERT HOT SPRINGS,978430
93023,OJAI,977130
92833,FULLERTON,974150
91977,SPRING VALLEY,973860
95409,SANTA ROSA,972720
93245,LEMOORE,968770
93238,KERNVILLE,967900
95367,RIVERBANK,960800
92555,MORENO VALLEY,959600
92571,PERRIS,958910
95954,MAGALIA,958640
92860,NORCO,957400
93036,OXNARD,957275
94541,HAYWARD,953300
90805,LONG BEACH,948660
94070,SAN CARLOS,948570
95662,ORANGEVALE,945200
92223,BEAUMONT,935100
95118,SAN JOSE,933900
95842,SACRAMENTO,925700
94601,OAKLAND,924750
92009,CARLSBAD,921530
96093,WEAVERVILLE,920230
92131,SAN DIEGO,919080
92886,YORBA LINDA,917910
95003,APTOS,917830
91754,MONTEREY PARK,914400
93305,BAKERSFIELD,911770
90808,LONG BEACH,910330
91764,ONTARIO,907460
92501,RIVERSIDE,906340
94804,RICHMOND,905600
91945,LEMON GROVE,898310
90745,CARSON,887430
95762,EL DORADO HILLS,886900
92557,MORENO VALLEY,886470
92675,SAN JUAN CAPISTRANO,885230
91803,ALHAMBRA,883800
95363,PATTERSON,878300
95826,SACRAMENTO,875380
93402,LOS OSOS,870860
93631,KINGSBURG,870600
96067,MOUNT SHASTA,870120
95948,GRIDLEY,865750
92078,SAN MARCOS,856810
93933,MARINA,854760
95126,SAN JOSE,851630
93657,SANGER,849650
91741,GLENDORA,847380
91321,SANTA CLARITA,845970
95037,MORGAN HILL,842340
91302,CALABASAS,840900
91331,ARLETA,840895
92058,OCEANSIDE,840120
91107,PASADENA,839580
92019,EL CAJON,839430
91711,CLAREMONT,838050
93706,FRESNO,837380
96161,TRUCKEE,834800
95841,SACRAMENTO,833400
90034,LOS ANGELES,832780
95492,WINDSOR,831900
94044,PACIFICA,828970
92867,ORANGE,828710
92865,ORANGE,826200
90028,HOLLYWOOD,822800
90603,WHITTIER,821900
94521,CONCORD,821500
93550,PALMDALE,818900
94561,OAKLEY,818030
91723,COVINA,811800
95066,SCOTTS VALLEY,810700
91801,ALHAMBRA,802490
95828,SACRAMENTO,800850
95377,TRACY,797280
95632,GALT,797200
95357,MODESTO,795540
94112,SAN FRANCISCO,793400
94536,FREMONT,791450
90210,BEVERLY HILLS,791102
90813,LONG BEACH,790830
93268,TAFT,790460
91423,SHERMAN OAKS,787780
91030,SOUTH PASADENA,785240
93654,REEDLEY,784740
95616,DAVIS,783800
93405,SAN LUIS OBISPO,781860
96013,BURNEY,781780
96019,SHASTA LAKE,781320
93905,SALINAS,778170
93212,CORCORAN,776260
94612,OAKLAND,771170
93505,CALIFORNIA CITY,768650
94952,PETALUMA,767500
92109,PACIFIC BEACH,767020
92508,RIVERSIDE,766500
91902,BONITA,766480
94117,SAN FRANCISCO,765150
90303,INGLEWOOD,763420
90016,LOS ANGELES,763160
92057,OCEANSIDE,760120
94025,MENLO PARK,757180
92119,SAN DIEGO,755240
90069,WEST HOLLYWOOD,754800
91762,ONTARIO,752350
90403,SANTA MONICA,751035
95050,SANTA CLARA,746200
93240,LAKE ISABELLA,743620
93610,CHOWCHILLA,742670
92371,PHELAN,740440
92084,VISTA,739540
92108,SAN DIEGO,735310
96101,ALTURAS,734990
95341,MERCED,734300
90262,LYNWOOD,733360
95726,POLLOCK PINES,732130
91411,VAN NUYS,731590
95348,MERCED,730400
91722,COVINA,727120
90046,LOS ANGELES,724155
92845,GARDEN GROVE,723130
90717,LOMITA,718270
91750,LA VERNE,718130
91106,PASADENA,715770
95404,SANTA ROSA,715750
93221,EXETER,714720
91007,ARCADIA,710830
95988,WILLOWS,710780
91206,GLENDALE,707460
