Zip Code,City,Pills,Tax Returns,AGI thousands,Population,Death Rate
90503,TORRANCE,1346520,20351,1490176,44383,5.53
92870,PLACENTIA,1338930,23213,1412972,52033,3.94
90033,LOS ANGELES,1334520,16153,424024,48852,4.64
95811,SACRAMENTO,1333430,3384,160478,7595,9.81
93561,TEHACHAPI,1326460,10777,628367,34630,5.66
95437,FORT BRAGG,1325200,6158,243148,14799,19.94
92584,MENIFEE,1323630,15721,857701,43400,2.28
92801,ANAHEIM,1312080,27124,950138,62068,13.1
95124,SAN JOSE,1298800,21426,2055902,47082,5.26
94564,PINOLE,1294510,9268,545409,18287,7.17
95010,CAPITOLA,1289740,5193,304223,9137,13.4
92505,RIVERSIDE,1284860,18297,720184,47672,1.67
93304,BAKERSFIELD,1281660,17129,505227,48731,2.15
91405,VAN NUYS,1278974,20668,669765,51145,1.89
92780,TUSTIN,1270670,24874,1216828,57741,13.06
94066,SAN BRUNO,1257700,21154,1349332,41130,2.18
94523,PLEASANT HILL,1242450,16588,1259116,33569,3.66
95023,HOLLISTER,1237390,19456,1105255,48841,6.13
92211,PALM DESERT,1237070,11038,730219,24294,12.17
93033,OXNARD,1236390,41780,1278755,82728,4.16
93703,FRESNO,1234220,10737,281409,31868,11.56
91911,CHULA VISTA,1232320,36723,1416028,82999,4.86
92065,RAMONA,1225050,15648,1020068,35414,3.45
92253,LA QUINTA,1222400,14549,1113640,37262,4.45
92117,SAN DIEGO,1222100,25633,1416716,51332,9.66
90036,LOS ANGELES,1221270,19013,1669785,36865,1.25
95128,SAN JOSE,1220660,15786,1074216,34836,3.55
93063,SIMI VALLEY,1217460,25084,1662047,54366,14.36
93063,SIMI VALLEY,1217460,25084,1662047,54366,14.36
94118,SAN FRANCISCO,1212500,20031,2754871,38319,2.98
93955,SAND CITY,1209400,13789,567410,33359,2.24
92630,LAKE FOREST,1206300,28289,1842183,59182,7.48
92806,ANAHEIM,1204780,16780,786962,37173,5.68
90035,LOS ANGELES,1191840,13829,1098760,28418,2.17
91950,NATIONAL CITY,1191680,23331,741939,60322,3.93
92026,ESCONDIDO,1185250,21309,1170914,48922,17.62
93401,SAN LUIS OBISPO,1177100,12474,819923,28033,4.18
94801,POINT RICHMOND,1176860,11016,631787,29395,11.02
92104,SAN DIEGO,1175400,23543,1041585,44414,8.52
92028,FALLBROOK,1168460,19500,1180168,46239,5.27
92040,LAKESIDE,1165730,18434,998413,41281,16.29
92115,SAN DIEGO,1163630,23719,1035793,58560,13.56
91761,ONTARIO,1160485,24253,1037310,56913,1.47
93292,VISALIA,1158610,14526,688176,39032,2.26
92649,HUNTINGTON BEACH,1153800,16779,1615282,32463,3.09
92225,BLYTHE,1144500,5356,216343,24310,3.71
91401,VAN NUYS,1138010,17651,865065,39285,2.59
94510,BENICIA,1137708,13397,1059091,27088,4.29
90640,MONTEBELLO,1136320,26970,1079631,62549,1.94
93060,SANTA PAULA,1131720,14251,593163,32811,2.87
95490,WILLITS,1130730,5275,211596,13264,16.41
92868,ORANGE,1129396,10226,457330,25404,4.15
94941,MILL VALLEY,1125530,14443,2835738,30496,10.11
92627,COSTA MESA,1122110,28284,1376679,61510,12.06
91342,SYLMAR,1121740,37681,1569934,91725,1.06
94945,NOVATO,1117190,8290,733525,17167,12.52
92064,POWAY,1116325,21371,2050869,47904,4.49
95519,MCKINLEYVILLE,1114210,7213,347295,17432,16.4
95765,ROCKLIN,1112670,13892,1099195,33974,3.6
95521,ARCATA,1112090,7032,273719,20199,13.76
91702,AZUSA,1110560,23595,902671,59705,1.07
94544,HAYWARD,1109800,31755,1393762,73026,1.65
95035,MILPITAS,1107720,29612,2173252,66943,5.39
92563,MURRIETA,1104820,22152,1261137,53892,4.06
92008,CARLSBAD,1101170,13511,995461,27649,3.03
94103,SAN FRANCISCO,1093800,12854,896641,27170,43.36
90501,TORRANCE,1093658,18961,1009763,43180,2.03
94619,OAKLAND,1091800,11947,823688,23299,3.46
91367,WOODLAND HILLS,1091800,19424,1693245,39499,5.85
91344,GRANADA HILLS,1090760,23529,1551473,51747,4.52
95965,OROVILLE,1089350,6748,239460,20384,6.61
92308,APPLE VALLEY,1082000,14484,645199,39837,4.49
93705,FRESNO,1080000,13160,397338,36703,13.61
95949,GRASS VALLEY,1078400,8414,492245,19741,9.06
91701,ALTA LOMA,1076590,18253,1139206,38976,3.4
93215,DELANO,1075290,17486,524038,55659,1.98
93215,DELANO,1075290,17486,524038,55659,1.98
92604,IRVINE,1074900,12279,924315,26853,5.01
91941,LA MESA,1073040,14841,1010425,31779,2.05
90804,LONG BEACH,1068570,17122,614354,40311,4.57
92509,RIVERSIDE,1067520,28370,1060770,75196,1.72
94901,SAN RAFAEL,1067220,18264,1763846,41157,9.84
94566,PLEASANTON,1055140,19255,2728331,40884,1.68
91350,SAUGUS,1049600,14655,1054878,33348,4.64
92869,ORANGE,1043200,17418,1349756,37184,2.48
95472,SEBASTOPOL,1040180,12532,833207,28255,10.83
94559,NAPA,1038050,12532,690156,27184,3.28
93618,DINUBA,1036180,10923,334170,28262,3.92
95123,SAN JOSE,1034300,28602,1985991,62228,1.38
92653,LAGUNA HILLS,1033869,14302,1407794,29291,3.7
91320,NEWBURY PARK,1029410,20235,1826884,44274,8.34
92692,MISSION VIEJO,1020000,22109,1968497,47222,14.74
95831,SACRAMENTO,1016160,20670,1374554,41321,1.77
92673,SAN CLEMENTE,1011475,12277,1508265,29309,30.5
90025,LOS ANGELES,1002520,25568,3146444,42147,2.84
92821,BREA,988320,16964,1119334,35533,2.03
91740,GLENDORA,985330,11594,643317,25356,4.18
95252,VALLEY SPRINGS,980600,5237,291694,13460,24.0
92240,DESERT HOT SPRINGS,978430,13566,389233,34722,8.37
93023,OJAI,977130,8881,632536,20589,7.57
92833,FULLERTON,974150,21331,1204267,51767,5.96
91977,SPRING VALLEY,973860,25088,1102758,58368,5.11
93245,LEMOORE,968770,13838,670904,37412,3.4
95367,RIVERBANK,960800,9487,422164,23173,5.15
92555,MORENO VALLEY,959600,14680,740832,39076,4.56
93036,OXNARD,957275,17287,795140,41691,7.77
94541,HAYWARD,953300,26677,1176625,61635,3.53
90805,LONG BEACH,948660,37711,1229720,93524,1.25
94070,SAN CARLOS,948570,14805,2036226,29166,2.95
95662,ORANGEVALE,945200,14711,840395,31558,3.56
92223,BEAUMONT,935100,17752,964012,43605,4.97
95118,SAN JOSE,933900,14472,1117110,31932,3.13
