BUYER_ZIP,TRANSACTION_DATE,DOSAGE_UNIT,Ingredient_Name
93023,6122012,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,6122012,300.0,OXYCODONE HYDROCHLORIDE
93023,6152012,600.0,OXYCODONE HYDROCHLORIDE
93023,7192012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,7302012,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,7312012,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,8292012,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
93023,11262012,200.0,OXYCODONE HYDROCHLORIDE
93023,11302012,200.0,OXYCODONE HYDROCHLORIDE
92128,5092007,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,5112007,100.0,OXYCODONE HYDROCHLORIDE
92128,10302007,200.0,OXYCODONE HYDROCHLORIDE
92128,11072007,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,12132007,200.0,OXYCODONE HYDROCHLORIDE
92128,5142008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,7152008,200.0,OXYCODONE HYDROCHLORIDE
92128,9052008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,10302008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,5122009,200.0,OXYCODONE HYDROCHLORIDE
92128,10022009,200.0,OXYCODONE HYDROCHLORIDE
92128,12302009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,12302009,200.0,OXYCODONE HYDROCHLORIDE
92128,1252010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,5052011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,5282011,300.0,OXYCODONE HYDROCHLORIDE
92128,7192011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,9102011,200.0,OXYCODONE HYDROCHLORIDE
92128,12222011,200.0,OXYCODONE HYDROCHLORIDE
92128,12302011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92128,2232012,100.0,OXYCODONE HYDROCHLORIDE
92128,3102012,100.0,OXYCODONE HYDROCHLORIDE
90069,12042007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
90069,1042008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,3232006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,5042006,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,7282006,100.0,OXYCODONE HYDROCHLORIDE
92024,8022006,600.0,OXYCODONE HYDROCHLORIDE
92024,10062006,600.0,OXYCODONE HYDROCHLORIDE
92024,12152006,500.0,OXYCODONE HYDROCHLORIDE
92024,8202007,600.0,OXYCODONE HYDROCHLORIDE
92024,9212007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,10262007,500.0,OXYCODONE HYDROCHLORIDE
92024,11062007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,1072008,100.0,OXYCODONE HYDROCHLORIDE
92024,2082008,100.0,OXYCODONE HYDROCHLORIDE
92024,3052008,100.0,OXYCODONE HYDROCHLORIDE
92024,4022008,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,5272008,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,6232008,100.0,OXYCODONE HYDROCHLORIDE
92024,7072008,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,8152008,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,8282008,100.0,OXYCODONE HYDROCHLORIDE
92024,8282008,100.0,OXYCODONE HYDROCHLORIDE
92024,9082008,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,10132008,200.0,OXYCODONE HYDROCHLORIDE
92024,10142008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,10142008,400.0,OXYCODONE HYDROCHLORIDE
92024,11102008,100.0,OXYCODONE HYDROCHLORIDE
92024,11172008,100.0,OXYCODONE HYDROCHLORIDE
92024,1062009,100.0,OXYCODONE HYDROCHLORIDE
92024,1282009,100.0,OXYCODONE HYDROCHLORIDE
92024,2122009,100.0,OXYCODONE HYDROCHLORIDE
92024,3022009,100.0,OXYCODONE HYDROCHLORIDE
92024,6052009,100.0,OXYCODONE HYDROCHLORIDE
92024,9302009,100.0,OXYCODONE HYDROCHLORIDE
