Zip Code,Tax Returns,AGI thousands
92394,10733,397866
92395,15228,820131
92397,2293,143365
92399,21142,1202337
92401,714,15844
92404,21586,713513
92405,10918,333224
92407,20727,833646
92408,5008,156355
92410,16594,395442
92411,9268,225172
92501,8016,321875
92503,33346,1463196
92504,21181,926496
92505,18297,720184
92506,19563,1471874
92507,18822,714600
92508,13298,873499
92509,28370,1060770
92518,590,42863
92530,18051,721228
92532,6889,386613
92536,1394,67516
92539,1531,56576
92543,11163,334384
92544,16306,720055
92545,15015,614230
92548,2208,69900
92551,11758,427671
92553,26525,836418
92555,14680,740832
92557,20219,887319
92561,523,35168
92562,24669,1691220
92563,22152,1261137
92567,3449,151585
92570,17759,601935
92571,18511,654385
92582,5392,230837
92583,10290,355203
92584,15721,857701
92585,7312,340501
92586,9164,352954
92587,6708,403690
92590,1710,142162
92591,15881,943869
92592,28158,2072660
92595,12437,608502
92596,8558,501165
92602,9263,887692
92603,8543,1875994
92604,12279,924315
92606,8879,735635
92610,4702,456435
92612,10771,989318
92614,11333,1186431
92617,3237,283459
92618,8896,961594
92620,17367,1786515
92624,3602,274673
92625,6798,1605589
92626,23182,1477381
92627,28284,1376679
92629,13747,1378201
92630,28289,1842183
92637,9581,446466
92646,27267,2050509
92647,26278,1536288
92648,22684,2292516
92649,16779,1615282
92651,12004,2964214
92653,14302,1407794
92655,3383,107962
92656,22780,1907880
92657,4416,1980492
92660,16731,3635327
92661,1947,321489
92662,1524,190623
92663,11027,1396328
92672,17416,1299066
92673,12277,1508265
92675,15397,1503181
92676,909,73767
92677,29636,3163371
92679,13581,2259407
92683,39298,1715190
92688,19594,1566798
92691,22200,1555283
92692,22109,1968497
92694,8492,1128022
92701,19430,544657
92703,25149,697070
92704,37299,1251203
92705,20073,1978433
92706,15060,665605
92707,26422,884917
92708,26057,1748688
92780,24874,1216828
92782,10772,1220976
92801,27124,950138
92802,16834,642825
92804,34429,1306972
92805,27820,1044765
92806,16780,786962
92807,17138,1456834
92808,8863,854007
92821,16964,1119334
92823,1542,135273
92831,14360,863087
92832,10075,436483
92833,21331,1204267
92835,11158,1039978
92840,22697,887660
92841,13731,559364
92843,18081,598914
92844,9739,335052
92845,7836,516976
92860,10569,665717
92861,2771,495737
92865,9107,526603
92866,7217,345821
92867,19682,1447562
92868,10226,457330
92869,17418,1349756
92870,23213,1412972
92879,19393,888700
92880,23281,1497996
92881,11741,842132
92882,27227,1457575
92883,11696,846997
92886,21227,2171256
92887,9481,1038422
93001,15103,831190
93003,23090,1451349
93004,12874,793535
93010,19811,1491327
93012,15554,1397791
93013,7471,493691
93015,7131,310198
93021,16468,1251712
93022,2909,172698
93023,8881,632536
93030,26765,1117966
93033,41780,1278755
93035,12760,823061
93036,17287,795140
93041,9280,380127
93060,14251,593163
93063,25084,1662047
93065,32737,2328459
93066,1632,161440
93101,14129,787154
93103,8400,523312
93105,12068,1065903
93108,4760,1226382
93109,4986,495171
93110,7343,745360
93111,8697,740734
93117,15751,953589
93202,1526,49399
93203,9733,229087
93204,4075,100383
93205,676,21558
93206,920,33458
93207,104,4481
93210,4913,212693
93212,4845,170667
93215,17486,524038
93219,3915,86254
93221,5485,297091
93223,3452,90837
93224,183,8554
93225,2096,97104
93226,107,5924
93230,23758,1128525
93235,1641,42989
93238,745,34842
93239,653,15425
93240,2176,84789
93241,6618,154740
93242,1365,49407
93243,581,25292
93244,224,12630
93245,13838,670904
93247,6113,181614
93249,1324,32279
93250,4722,128978
93252,527,23505
93254,304,12147
93255,188,7844
93256,1848,49989
93257,25213,917804
93263,7306,260283
93265,1588,101368
93266,624,20746
93267,2236,69253
93268,5732,304642
93270,2418,75304
93271,1048,59070
93272,1277,41884
93274,24207,1019884
93277,19749,981517
93280,7842,252261
93283,625,20255
93285,886,32574
93286,3338,113186
93291,18160,1004740
93292,14526,688176
93301,4661,215024
93304,17129,505227
93305,11966,353809
93306,24605,1156945
93307,27103,765747
93308,19324,956745
93309,23844,1191316
93311,16291,1351628
93312,22060,1590473
93313,16730,788004
93314,9244,839822
93401,12474,819923
93402,6435,342754
93405,7219,489509
93420,12326,857654
93422,12826,735950
93426,435,24780
93427,2751,162842
93428,3214,194567
93430,1501,123935
93432,637,40534
93433,5445,244914
93434,2812,87197
93436,20469,998989
93437,1226,51831
93442,4807,247580
93444,8652,531241
93445,2560,92286
93446,17875,1056421
93449,3798,282810
93450,250,31843
93451,1648,76788
93452,221,8146
93453,1310,65693
93454,14711,616562
93455,17986,1134052
93458,23084,632447
93460,2871,313130
93461,663,25896
93463,3183,265922
93465,4275,301855
93501,1654,59243
93505,3822,176470
93510,3594,271681
93513,806,38473
93514,5678,295895
93516,654,27345
93517,383,18788
93518,427,20867
93523,1186,67481
93526,346,16399
93527,925,52125
93531,250,39034
93532,1248,69406
93534,14494,524824
93535,25830,905067
93536,26042,1538812
93543,4805,180027
93544,415,20898
93545,838,38485
93546,4371,214942
93550,26898,887252
93551,21334,1379214
93552,14221,555270
93553,765,36460
93555,13093,750708
93560,7331,360418
93561,10777,628367
93562,587,26049
93591,2305,73772
93601,864,41632
93602,1447,78663
93604,359,20259
93608,518,12892
93609,2312,94006
93610,6274,259222
93611,18803,1194195
93612,13720,500368
93614,4844,264622
93615,2285,51955
93616,1061,31501
93618,10923,334170
93619,12410,1189857
93620,3361,122580
93621,191,8434
93622,3727,146159
93625,3050,134181
93626,653,111004
93628,108,3748
93630,6941,264416
93631,6682,379401
93635,15177,617043
93636,4800,307944
93637,14042,587596
93638,20023,541020
93640,5564,131604
93641,158,6884
93643,1261,59755
93644,3937,194352
93645,152,10514
93646,3454,95916
93647,4190,102975
93648,5963,142019
93650,1643,51140
93651,824,58888
93652,333,8934
93653,412,21338
93654,12407,454210
93656,2233,84605
93657,13441,570005
93660,1700,49990
93662,12198,418066
93664,380,27494
93667,939,49633
93668,428,18201
93669,110,4844
93675,1341,60733
93701,3301,63901
93702,15060,339680
93703,10737,281409
93704,11655,596901
93705,13160,397338
93706,12815,353560
93710,11496,467798
93711,17323,1581040
93720,19913,1443051
93721,1417,48517
93722,29712,1279320
93723,3371,196497
93725,9020,280513
93726,15162,457983
93727,25512,1014608
93728,5925,177557
93730,4229,506519
93901,11587,635124
93905,30220,794358
93906,23928,993220
93907,8958,529490
93908,5858,745578
93920,707,28031
93923,4944,608349
93924,2989,278410
93925,838,35898
93926,4293,168139
93927,7915,258743
93930,7340,258650
93933,9691,444400
93940,13729,1086442
93950,7691,599673
93953,2120,417377
93955,13789,567410
93960,6932,1238311
94002,13009,1439188
94005,2569,252404
94010,19813,4650267
94014,21665,1035709
94015,29381,1623561
94019,7146,753673
94020,759,72707
94021,103,7251
94022,9201,3582033
94024,10349,2794268
94025,18723,4098652
94027,3169,3121369
94028,3412,1614976
94030,10849,907015
94038,1387,120277
94040,15376,1685677
94041,7026,821234
94043,14361,1459534
94044,18895,1415111
94060,813,45325
94061,16790,1340074
94062,12581,3328418
94063,12522,557495
94065,5722,1081525
94066,21154,1349332
94070,14805,2036226
94074,110,7916
94080,31377,1923437
94085,10241,723220
94086,22506,1894454
94087,24455,2854524
94089,9991,704000
94102,13567,682120
94103,12854,896641
94104,1364,377027
94105,4551,1122762
94107,15066,1837933
94108,6549,881839
94109,30980,2676631
94110,38013,2560914
94111,2666,1454125
94112,38177,1764678
94114,20931,2652889
94115,18078,3022054
94116,22089,1659772
94117,22353,2140947
94118,20031,2754871
94121,21426,1827503
94122,29766,1971891
94123,14648,2899430
94124,15337,566258
94127,9986,1327602
94129,1711,418701
94130,913,28955
94131,15633,1735187
94132,12046,762668
94133,13653,1399497
94134,19225,828753
94158,2298,261681
94301,8351,3061058
94303,19348,2893142
94304,1791,931676
94305,3445,673283
94306,12799,2172698
94401,15866,984397
94402,12324,1828617
94403,19788,2237345
94404,16425,1810009
94501,29908,1984932
94502,6517,686199
94503,8360,504932
94505,5656,486141
94506,9968,2197721
94507,7197,1737307
94508,1279,95725
94509,26252,1180269
94510,13397,1059091
94513,22776,1642582
94514,551,33211
94515,3311,222932
94517,5998,608888
94518,12553,817455
94519,8684,481257
94520,16236,632773
94521,19494,1341746
94523,16588,1259116
94525,1623,92005
94526,15238,2111857
94530,12648,933842
94531,17137,1063586
94533,29433,1351775
94534,16404,1354027
94535,2268,80459
94536,29975,2278214
94538,27739,1786401
94539,21153,3098846
94541,26677,1176625
94542,5421,436914
94544,31755,1393762
94545,14293,755293
94546,20695,1337503
94547,11225,788217
94549,13160,2310417
94550,21341,2066480
94551,18120,1270037
94552,6611,709677
94553,22866,1572723
94555,14069,1276349
94556,6954,1147926
94558,30763,2144066
94559,12532,690156
94560,19669,1176363
94561,15251,873820
94563,8646,2053720
94564,9268,545409
94565,36595,1591081
94566,19255,2728331
94567,292,99518
94568,19531,1823446
94571,4003,226455
94572,3890,201123
94574,4086,501634
94576,112,8963
94577,21974,1217715
94578,17317,737756
94579,9872,511157
94580,12773,635869
94582,14682,2058159
94583,20717,3019175
94585,12324,634570
94586,552,55305
94587,31225,2000197
94588,14449,1649074
94589,12994,549817
94590,15727,624255
94591,24762,1471238
94592,322,26165
94595,9681,805484
94596,11146,2442659
94597,11196,910388
94598,13148,1579843
94599,1648,118756
94601,19463,626801
94602,13675,970957
94603,13319,435005
94605,19078,965584
94606,16573,581329
94607,10713,479895
94608,14025,739292
94609,10995,524803
94610,16955,1395782
94611,19662,2798444
94612,7070,346455
94618,8513,1197371
94619,11947,823688
94621,11589,332319
94702,8308,467418
94703,9508,526022
94704,5254,236001
94705,7057,942453
94706,8748,637447
94707,6738,998535
94708,5776,809323
94709,5132,321605
94710,3513,192305
94801,11016,631787
94803,11599,682031
94804,16913,727331
94805,6422,337365
94806,25040,1038062
94901,18264,1763846
94903,14072,1295448
94904,5951,1210988
