ZipCode,City,Pills per Person per Day,AGI per Return,Death Rate
95340,MERCED,0.19564200191928582,49077.02359346642,15.52
93306,BAKERSFIELD,0.1010063732660905,47020.7274944117,7.39
94115,SAN FRANCISCO,0.1966071404125146,167167.4964044695,3.7
93551,PALMDALE,0.1274772440075572,64648.63598012562,3.55
91706,BALDWIN PARK,0.08356967649149334,32503.469545104086,1.37
95993,YUBA CITY,0.17621846099971478,53285.704376777416,5.8
94565,PITTSBURG,0.07435724096923137,43478.09810083345,2.07
92071,SANTEE,0.11714121163975849,56903.63244319124,10.35
95401,SANTA ROSA,0.16880789950263242,50434.37120388722,7.04
91942,LA MESA,0.1638911608589594,49430.937414594155,5.29
92530,LAKE ELSINORE,0.1240765918628784,39955.016342584895,1.92
92530,LAKE ELSINORE,0.1240765918628784,39955.016342584895,1.92
92201,INDIO,0.10074908532890384,35924.702420756985,1.37
