Zip Code,1 under 25K,25K under 50K,50K under 75K,75K under 100K,100K under 200K,200K or more
92026,106976.0,191969.0,183533.0,169141.0,338573.0,180722.0
92027,127462.0,214346.0,177432.0,148799.0,277315.0,95879.0
92028,104962.0,150800.0,147207.0,142701.0,341674.0,292824.0
92029,33401.0,63824.0,73166.0,74620.0,206772.0,253573.0
92036,8394.0,12236.0,14516.0,12266.0,22824.0,11256.0
92037,55616.0,112030.0,132616.0,142393.0,488009.0,2423310.0
92040,83050.0,171461.0,172016.0,159642.0,316081.0,96163.0
92054,104323.0,173775.0,135828.0,100534.0,185093.0,93408.0
92056,115953.0,217753.0,223673.0,207641.0,420110.0,130204.0
92057,122040.0,218091.0,206537.0,198749.0,395649.0,115626.0
92058,96267.0,176191.0,107638.0,79436.0,111217.0,19975.0
92059,2821.0,3886.0,2122.0,2046.0,48898.0,20258.0
92061,7532.0,13372.0,8415.0,10027.0,17549.0,46836.0
92064,78309.0,143186.0,163384.0,182519.0,567538.0,915933.0
92065,65395.0,121512.0,136786.0,150377.0,353094.0,192904.0
92066,660.0,916.0,5676.0,,,
92069,102285.0,163983.0,141464.0,131546.0,296899.0,107590.0
92070,2880.0,5734.0,5127.0,2464.0,6535.0,
92071,97026.0,210996.0,251550.0,257438.0,454792.0,100486.0
92075,22886.0,45392.0,51606.0,54588.0,157202.0,455750.0
92078,75002.0,136443.0,145656.0,148140.0,443831.0,308984.0
92081,56624.0,109062.0,122609.0,107669.0,231158.0,104135.0
92082,37874.0,63152.0,68972.0,66448.0,180649.0,120942.0
92083,105269.0,156042.0,99728.0,70803.0,88811.0,14752.0
92084,115812.0,182030.0,137698.0,118348.0,245564.0,140647.0
92086,3259.0,5575.0,4424.0,4261.0,8618.0,
92091,1397.0,2193.0,3804.0,2946.0,13055.0,135687.0
92101,73220.0,158520.0,172214.0,159865.0,329293.0,503496.0
92102,132307.0,193971.0,111810.0,54133.0,68127.0,29205.0
92103,72556.0,188829.0,195390.0,153162.0,302860.0,528936.0
92104,127238.0,269872.0,198947.0,134652.0,218110.0,92766.0
92105,202558.0,256896.0,143511.0,71565.0,62948.0,12833.0
92106,31201.0,70316.0,75350.0,67846.0,226496.0,414180.0
92107,68287.0,146052.0,131803.0,108905.0,222015.0,280339.0
92108,42881.0,120419.0,125658.0,98352.0,149925.0,87528.0
92109,112601.0,266228.0,254675.0,180329.0,317856.0,340193.0
92110,54042.0,118762.0,111544.0,92364.0,184758.0,132194.0
92111,108809.0,203927.0,188319.0,152188.0,259866.0,97610.0
92113,155838.0,182368.0,75354.0,25980.0,31631.0,
92114,163791.0,292118.0,237814.0,176820.0,201742.0,16808.0
92115,139765.0,226142.0,176024.0,138175.0,221550.0,134137.0
92116,84432.0,206252.0,170752.0,117219.0,202781.0,132545.0
92117,118271.0,238630.0,239640.0,219016.0,403329.0,197830.0
92118,24191.0,57081.0,66098.0,75967.0,207732.0,384177.0
92119,41150.0,94631.0,118274.0,121010.0,258172.0,89215.0
92120,48492.0,109093.0,128711.0,133161.0,315222.0,221382.0
92121,6762.0,14668.0,17485.0,22371.0,73147.0,162083.0
92122,62231.0,147076.0,179235.0,201996.0,442851.0,389666.0
92123,54983.0,135273.0,132972.0,118174.0,209346.0,140551.0
92124,42378.0,122880.0,128320.0,124224.0,294218.0,172522.0
92126,135712.0,302021.0,337581.0,329191.0,587866.0,140441.0
92127,39175.0,83977.0,115075.0,153327.0,610815.0,885569.0
92128,62973.0,152003.0,226224.0,248682.0,703968.0,442671.0
92129,71772.0,139991.0,173891.0,209821.0,807736.0,507521.0
92130,43501.0,94542.0,127342.0,160735.0,736509.0,2133135.0
92131,33935.0,74265.0,112015.0,151684.0,634256.0,785531.0
92139,80478.0,175815.0,151566.0,108001.0,135353.0,13876.0
92154,220868.0,376451.0,294785.0,206607.0,263872.0,83075.0
92173,160395.0,191491.0,94630.0,44340.0,40668.0,
92201,167602.0,204241.0,134437.0,106049.0,141703.0,51795.0
92203,44164.0,81635.0,96540.0,94287.0,180190.0,98112.0
92210,5747.0,10728.0,12180.0,15469.0,51257.0,282271.0
92211,45313.0,87716.0,102556.0,110753.0,219725.0,164156.0
92220,76849.0,115314.0,95337.0,69878.0,82059.0,120381.0
92223,78744.0,143991.0,189577.0,188738.0,297322.0,65640.0
92225,32468.0,47063.0,40708.0,38113.0,48597.0,9394.0
92227,58798.0,83366.0,71828.0,58679.0,90884.0,65931.0
92230,7068.0,8783.0,5397.0,5181.0,,
92231,203324.0,176620.0,92437.0,56357.0,60759.0,20722.0
92233,8494.0,12767.0,10085.0,6983.0,13371.0,
92234,143910.0,185735.0,129960.0,88985.0,138842.0,52385.0
92236,155363.0,216714.0,65480.0,26730.0,27248.0,
92240,108614.0,119114.0,67363.0,38192.0,44701.0,11249.0
92241,18072.0,20491.0,13786.0,10635.0,16370.0,
92242,3053.0,4128.0,3036.0,4925.0,,
92243,120574.0,150742.0,116160.0,97569.0,160858.0,77942.0
92249,20365.0,27354.0,23422.0,16080.0,11354.0,
92250,20022.0,32450.0,21765.0,18677.0,27646.0,23074.0
92251,28306.0,54944.0,68167.0,76905.0,117440.0,15282.0
92252,22177.0,31654.0,26326.0,18137.0,28697.0,
92253,65264.0,113738.0,123176.0,118737.0,301861.0,390864.0
92254,80919.0,102625.0,8863.0,4055.0,,
92256,8868.0,12701.0,13431.0,8100.0,15294.0,
92257,4352.0,5123.0,6698.0,,,
92260,72405.0,113127.0,100297.0,87429.0,162958.0,207279.0
92262,71838.0,102032.0,85455.0,63479.0,119095.0,116256.0
92264,50057.0,77564.0,69845.0,50616.0,107304.0,130524.0
92270,29381.0,50702.0,63067.0,60614.0,175681.0,430726.0
92274,81706.0,132979.0,16795.0,8328.0,15443.0,
92276,20517.0,29758.0,21104.0,11533.0,17433.0,
92277,55999.0,93010.0,66845.0,47985.0,59366.0,9721.0
92281,7232.0,7927.0,5643.0,2757.0,6596.0,
92282,2082.0,3102.0,5132.0,,,
92283,8677.0,12517.0,6466.0,3184.0,3587.0,
92284,52113.0,79435.0,72968.0,56066.0,77616.0,18237.0
92285,4818.0,5408.0,4749.0,4455.0,,
92301,80017.0,100464.0,68294.0,36713.0,28645.0,
92305,1140.0,2289.0,2493.0,2521.0,5425.0,
92307,80771.0,120955.0,132458.0,120646.0,207542.0,72613.0
