Zip Code,2010 Pills
94108,169930
94109,1620330
94110,1671100
94111,148500
94112,793400
94114,3035400
94115,2369640
94116,370100
94117,765150
94118,1212500
94121,315620
94122,666030
94123,482770
94124,532300
94125,1300
94127,285540
94128,1300
94130,400
94131,228300
94132,339600
94133,250180
94134,344200
94143,172200
94301,595130
94303,8100
94304,526100
94305,6900
94306,568600
94401,1260500
94402,657430
94403,594660
94404,454300
94501,1552100
94502,232680
94503,300000
94505,295160
94506,344530
94507,295120
94509,1979350
94510,1137708
94513,1782180
94514,0
94515,87800
94517,464630
94518,62800
94519,672600
94520,1587870
94521,821500
94523,1242450
94526,659370
94530,1013000
94531,3334010
94533,3062240
94534,544000
94536,791450
94538,3610145
94539,364980
94541,953300
94542,6300
94544,1109800
94545,2141850
94546,2189455
94547,431470
94549,321100
94550,52022690
94551,659590
94552,500
94553,2539910
94555,394100
94556,262500
94558,2607600
94559,1038050
94560,323820
94561,818030
94563,295590
94564,1294510
94565,2297190
94566,1055140
94567,0
94568,618505
94571,380600
94574,346000
94577,1000100
94578,1429240
94579,1160200
94580,206900
94582,65580
94583,1898430
94585,399530
94587,3547370
94588,1663030
94589,1382080
94590,2809270
94591,1003360
94592,0
94595,275580
94596,2479580
94597,433460
94598,3276210
94599,200500
94601,924750
94602,513400
94605,412800
94606,243300
94607,647370
94608,1123580
94609,1596300
94610,222620
94611,2563650
94612,771170
94618,68000
94619,1091800
94621,608758
94702,290200
94703,214000
94704,329800
94705,279600
94706,271200
94707,145200
94709,263800
94710,198000
94720,100
94801,1176860
94803,521580
94804,905600
94805,42500
94806,1446870
94901,1067220
94903,1771990
94904,480400
94920,100
94923,0
94924,0
94925,164470
94928,2004470
94930,100
94931,588000
94938,100
94939,211500
94940,0
94941,1125530
94942,2500
94945,1117190
94947,464260
94949,340400
94951,100
94952,767500
94954,1849680
94956,152000
94960,704900
94963,0
94964,0
94965,195600
94970,0
95001,500
95003,917830
95005,0
95006,309010
95008,1497680
95010,1289740
95012,0
95014,422380
95018,535920
95019,1345940
95020,1397120
95023,1237390
95030,401100
95032,1141220
95033,200
95035,1107720
95037,842340
95046,0
95050,746200
95051,2683320
95053,150
95054,116100
95060,1393750
95062,1747670
95065,3300
95066,810700
95070,191420
95073,266930
95076,1429670
95110,67100
95111,276000
95112,358450
95113,52200
95116,408820
95117,0
95118,933900
95119,1294330
95120,288890
95121,372940
95122,686960
95123,1034300
95124,1298800
95125,612330
95126,851630
95127,503350
95128,1220660
95129,537690
95130,89240
95131,22744
95132,479000
95133,313900
95134,42000
95135,178200
95136,205700
95138,285300
95139,900
95148,448200
95192,6300
95202,569680
95203,448600
95204,3032960
95205,2670320
95206,518540
95207,2593680
95209,259620
95210,4371250
95212,397400
95215,130
95219,192850
95221,0
95222,703400
95223,613700
95231,0
95236,81600
95237,217500
95240,3698940
95242,1832360
95247,191500
95249,635100
95252,980600
95258,300
95301,2009370
95304,265900
95307,2021530
95310,0
95315,281100
95319,0
95320,475050
95321,387000
95322,171620
95324,317900
95326,436600
95327,600
95330,351000
95334,103230
95336,2162500
95337,1487810
95338,598930
95340,2422990
95341,734300
95348,730400
95350,6547370
95351,3788920
95354,467685
95355,5795360
95356,2971020
95357,795540
95358,135590
95360,370920
95361,2096310
95363,878300
95365,174500
95366,532600
95367,960800
95368,0
95370,3907560
95376,2225350
95377,797280
95379,218400
95380,2712560
95381,0
95382,1776360
95383,386600
95386,408020
95389,12100
95401,2278580
95402,200
95403,1891690
95404,715750
95405,1918660
95407,647900
95409,972720
95415,24100
95422,3453660
95425,511800
95426,0
95427,100
95436,112200
95437,1325200
95445,69100
95446,504900
95448,626410
95449,0
95450,0
95451,192400
95453,2747400
95454,214600
95458,318400
95460,171900
95461,238530
95465,600
95467,72800
95468,197900
95472,1040180
95476,1789730
95482,2583530
95490,1130730
95492,831900
95497,0
95501,3181200
95502,0
95503,1480190
95519,1114210
95521,1112090
95531,2429440
95536,156200
95540,1833390
95542,488300
95546,369900
95558,500
95562,0
95565,394700
95567,1200
95570,0
95573,364000
95602,526840
95603,4190440
95604,0
95608,2054784
95610,1514790
95614,500
95616,783800
95618,634490
95619,200
95620,627100
95621,2862250
95624,1671900
95628,1982400
95630,3726540
95631,2000
95632,797200
95634,100
95640,310900
95642,1652700
95646,3150
95648,1952170
95650,380600
95655,0
95660,1477480
95661,5261460
95662,945200
95663,0
95665,534300
95667,3612340
95669,93800
95670,3124258
95671,3200
95673,600
95677,1425520
95678,2030360
95682,1332190
95683,200
95685,79600
95686,0
95687,2467020
95688,2191521
95690,100
95691,1979320
95692,310200
