Zip Code,2006-2012 Transactions,2010 Population
95965,12555,20384
92078,12533,42906
91301,12502,25488
90710,12451,25457
92860,12433,27198
92065,12429,35414
92223,12407,43605
90024,12402,47452
90230,12356,31766
91361,12307,20438
95348,12252,30805
91105,12206,11254
95503,12085,24152
92084,12078,47654
94526,12049,31102
92225,12043,24310
94619,12007,23299
95128,11945,34836
92651,11882,23881
90703,11853,49399
91362,11847,36045
91711,11817,35705
95660,11815,30714
91006,11811,31715
95472,11784,28255
93631,11777,15941
90720,11729,21751
90272,11686,22986
91748,11676,45406
93618,11652,28262
95122,11648,56545
90049,11621,35482
94402,11616,23981
92008,11518,27649
92688,11477,43792
93933,11431,22406
94403,11430,39642
94952,11419,32858
91331,11377,103689
91030,11376,25616
94579,11370,20571
92629,11262,25756
92881,11242,30991
92557,11209,50320
95632,11168,29269
95409,11136,27187
91723,11116,18275
92880,11104,58763
93703,11097,31868
90266,11096,35135
93402,11071,14318
91504,11048,24939
91803,11038,30322
92845,11036,16333
91764,10976,54086
96161,10964,18451
90803,10963,32031
92509,10939,75196
95125,10936,51939
94306,10866,26469
91342,10848,91725
92019,10808,42598
95662,10786,31558
93021,10718,36422
93405,10712,35440
90603,10674,20063
91326,10653,33708
95448,10651,16852
90805,10649,93524
94559,10640,27184
91607,10627,27927
96021,10620,16097
94568,10600,46016
91304,10594,50231
90745,10583,57251
93657,10583,34999
93215,10570,55659
92119,10546,23057
94123,10525,23088
92315,10516,5094
90280,10489,94396
91302,10453,25709
91303,10426,26855
90291,10419,28341
94561,10400,36515
92108,10385,18858
91007,10370,34095
95367,10326,23173
92411,10316,26214
91101,10316,20460
95010,10309,9137
93705,10304,36703
90303,10299,26176
95824,10295,30221
94019,10224,18424
92832,10209,24752
93268,10208,16897
92129,10163,51536
94510,10145,27088
95363,10127,25237
92782,10097,23032
94804,10089,38559
93013,10087,16091
91750,10057,33249
95129,9985,38720
91722,9970,34409
91606,9948,44958
92501,9928,20970
94401,9920,34429
90041,9911,27425
90016,9895,47596
90033,9855,48852
91765,9854,46457
92508,9808,35000
94601,9801,50294
92610,9796,11248
90006,9752,59185
95620,9718,20553
95616,9661,47032
95961,9650,26510
93560,9633,18910
92131,9623,32787
92058,9583,42436
90717,9574,21318
94061,9569,36245
90405,9553,27186
91010,9541,26074
93905,9536,61087
93305,9506,37601
90265,9505,18116
95826,9452,36628
94551,9443,36867
95746,9438,21460
95811,9437,7595
90022,9399,67179
95407,9339,39352
92706,9310,36457
94534,9300,36416
92264,9299,19383
95066,9298,14749
90723,9284,54099
94041,9175,13292
93654,9141,29776
91106,9072,24229
91762,9034,55857
94044,9033,37296
93514,9018,13857
93923,9006,12073
91411,9002,24628
95828,8959,57862
90262,8933,69745
90201,8917,101279
92802,8915,42709
91104,8883,36751
90680,8880,29945
95842,8877,31806
92504,8833,53778
92105,8828,69813
95963,8815,15493
91763,8747,36375
92532,8710,18644
92867,8706,44515
91387,8695,40328
94801,8681,29395
90245,8636,16654
95127,8625,61325
95519,8589,17432
92887,8564,20006
95820,8563,34480
95377,8552,30902
94404,8539,33749
94536,8528,68790
91502,8512,11371
91915,8505,24659
92637,8489,16012
94960,8479,15740
93041,8453,23641
91345,8445,18496
94608,8433,28019
91042,8414,27585
92672,8362,34464
94589,8346,29876
95948,8295,10810
94121,8288,41203
94301,8257,16995
95988,8229,8857
92831,8229,34204
93950,8173,15046
90701,8169,16591
90038,8120,28917
96093,8098,4133
91770,8095,62097
95404,8081,39761
92694,8075,21944
