Zip Code,Size AGI,Adjusted Gross Income,,,,,
93702,"$1 under $25,000",141825,,,,,
93702,"$25,000 under $50,000",121682,,,,,
93702,"$50,000 under $75,000",43006,,,,,
93702,"$75,000 under $100,000",14958,,,,,
93702,"$100,000 under $200,000",18209,,,,,
93702,"$200,000 or more",,,,,,
93703,"$1 under $25,000",88042,,,,,
93703,"$25,000 under $50,000",100220,,,,,
93703,"$50,000 under $75,000",49096,,,,,
93703,"$75,000 under $100,000",23039,,,,,
93703,"$100,000 under $200,000",21012,,,,,
93703,"$200,000 or more",,,,,,
93704,"$1 under $25,000",63793,,,,,
93704,"$25,000 under $50,000",107746,,,,,
93704,"$50,000 under $75,000",98569,,,,,
93704,"$75,000 under $100,000",75947,,,,,
93704,"$100,000 under $200,000",135081,,,,,
93704,"$200,000 or more",115765,,,,,
93705,"$1 under $25,000",97010,,,,,
93705,"$25,000 under $50,000",126415,,,,,
93705,"$50,000 under $75,000",84024,,,,,
93705,"$75,000 under $100,000",45277,,,,,
93705,"$100,000 under $200,000",44612,,,,,
93705,"$200,000 or more",,,,,,
93706,"$1 under $25,000",111784,,,,,
93706,"$25,000 under $50,000",105111,,,,,
93706,"$50,000 under $75,000",44908,,,,,
93706,"$75,000 under $100,000",27340,,,,,
93706,"$100,000 under $200,000",32166,,,,,
93706,"$200,000 or more",32251,,,,,
93710,"$1 under $25,000",66523,,,,,
93710,"$25,000 under $50,000",104407,,,,,
93710,"$50,000 under $75,000",98457,,,,,
93710,"$75,000 under $100,000",77808,,,,,
93710,"$100,000 under $200,000",96907,,,,,
93710,"$200,000 or more",23696,,,,,
93711,"$1 under $25,000",67592,,,,,
93711,"$25,000 under $50,000",136061,,,,,
93711,"$50,000 under $75,000",149914,,,,,
93711,"$75,000 under $100,000",153959,,,,,
93711,"$100,000 under $200,000",373071,,,,,
93711,"$200,000 or more",700443,,,,,
93720,"$1 under $25,000",72155,,,,,
93720,"$25,000 under $50,000",147597,,,,,
93720,"$50,000 under $75,000",194821,,,,,
93720,"$75,000 under $100,000",204475,,,,,
93720,"$100,000 under $200,000",478636,,,,,
93720,"$200,000 or more",345367,,,,,
93721,"$1 under $25,000",11888,,,,,
93721,"$25,000 under $50,000",10911,,,,,
93721,"$50,000 under $75,000",5601,,,,,
93721,"$75,000 under $100,000",3417,,,,,
93721,"$100,000 under $200,000",5785,,,,,
93721,"$200,000 or more",10915,,,,,
93722,"$1 under $25,000",165653,,,,,
93722,"$25,000 under $50,000",291547,,,,,
93722,"$50,000 under $75,000",269611,,,,,
93722,"$75,000 under $100,000",201999,,,,,
93722,"$100,000 under $200,000",255873,,,,,
93722,"$200,000 or more",94637,,,,,
93723,"$1 under $25,000",15594,,,,,
93723,"$25,000 under $50,000",30814,,,,,
93723,"$50,000 under $75,000",29632,,,,,
93723,"$75,000 under $100,000",32594,,,,,
93723,"$100,000 under $200,000",54734,,,,,
93723,"$200,000 or more",33129,,,,,
93725,"$1 under $25,000",71290,,,,,
93725,"$25,000 under $50,000",85407,,,,,
93725,"$50,000 under $75,000",47296,,,,,
93725,"$75,000 under $100,000",25467,,,,,
93725,"$100,000 under $200,000",27110,,,,,
93725,"$200,000 or more",23943,,,,,
93726,"$1 under $25,000",109410,,,,,
93726,"$25,000 under $50,000",149890,,,,,
93726,"$50,000 under $75,000",94217,,,,,
93726,"$75,000 under $100,000",54567,,,,,
93726,"$100,000 under $200,000",49899,,,,,
93726,"$200,000 or more",,,,,,
93727,"$1 under $25,000",158482,,,,,
93727,"$25,000 under $50,000",242391,,,,,
93727,"$50,000 under $75,000",203342,,,,,
93727,"$75,000 under $100,000",149543,,,,,
93727,"$100,000 under $200,000",180803,,,,,
93727,"$200,000 or more",80047,,,,,
93728,"$1 under $25,000",42948,,,,,
93728,"$25,000 under $50,000",60922,,,,,
93728,"$50,000 under $75,000",35235,,,,,
93728,"$75,000 under $100,000",17999,,,,,
93728,"$100,000 under $200,000",20453,,,,,
93728,"$200,000 or more",,,,,,
93730,"$1 under $25,000",10921,,,,,
93730,"$25,000 under $50,000",21362,,,,,
93730,"$50,000 under $75,000",36209,,,,,
93730,"$75,000 under $100,000",42490,,,,,
93730,"$100,000 under $200,000",139007,,,,,
93730,"$200,000 or more",256530,,,,,
93901,"$1 under $25,000",62972,,,,,
93901,"$25,000 under $50,000",101612,,,,,
93901,"$50,000 under $75,000",98549,,,,,
93901,"$75,000 under $100,000",79771,,,,,
93901,"$100,000 under $200,000",168492,,,,,
93901,"$200,000 or more",123728,,,,,
93905,"$1 under $25,000",299128,,,,,
93905,"$25,000 under $50,000",255355,,,,,
93905,"$50,000 under $75,000",115134,,,,,
93905,"$75,000 under $100,000",56483,,,,,
93905,"$100,000 under $200,000",58553,,,,,
93905,"$200,000 or more",9705,,,,,
93906,"$1 under $25,000",146290,,,,,
93906,"$25,000 under $50,000",234663,,,,,
93906,"$50,000 under $75,000",199168,,,,,
93906,"$75,000 under $100,000",150635,,,,,
93906,"$100,000 under $200,000",215789,,,,,
93906,"$200,000 or more",46675,,,,,
93907,"$1 under $25,000",41260,,,,,
93907,"$25,000 under $50,000",76460,,,,,
93907,"$50,000 under $75,000",84357,,,,,
93907,"$75,000 under $100,000",79246,,,,,
93907,"$100,000 under $200,000",168938,,,,,
93907,"$200,000 or more",79229,,,,,
93908,"$1 under $25,000",18206,,,,,
93908,"$25,000 under $50,000",30920,,,,,
93908,"$50,000 under $75,000",38092,,,,,
93908,"$75,000 under $100,000",49233,,,,,
93908,"$100,000 under $200,000",201332,,,,,
93908,"$200,000 or more",407795,,,,,
93920,"$1 under $25,000",4365,,,,,
93920,"$25,000 under $50,000",8615,,,,,
93920,"$50,000 under $75,000",5372,,,,,
93920,"$75,000 under $100,000",1991,,,,,
93920,"$100,000 under $200,000",7688,,,,,
93920,"$200,000 or more",,,,,,
93923,"$1 under $25,000",15082,,,,,
93923,"$25,000 under $50,000",29960,,,,,
93923,"$50,000 under $75,000",39735,,,,,
93923,"$75,000 under $100,000",45631,,,,,
93923,"$100,000 under $200,000",132210,,,,,
93923,"$200,000 or more",345731,,,,,
93924,"$1 under $25,000",10820,,,,,
93924,"$25,000 under $50,000",19562,,,,,
93924,"$50,000 under $75,000",24498,,,,,
93924,"$75,000 under $100,000",25423,,,,,
93924,"$100,000 under $200,000",74942,,,,,
93924,"$200,000 or more",123165,,,,,
93925,"$1 under $25,000",5490,,,,,
93925,"$25,000 under $50,000",10164,,,,,
93925,"$50,000 under $75,000",5827,,,,,
93925,"$75,000 under $100,000",2673,,,,,
93925,"$100,000 under $200,000",11744,,,,,
93925,"$200,000 or more",,,,,,
93926,"$1 under $25,000",28286,,,,,
93926,"$25,000 under $50,000",47602,,,,,
93926,"$50,000 under $75,000",33202,,,,,
93926,"$75,000 under $100,000",21053,,,,,
93926,"$100,000 under $200,000",24251,,,,,
93926,"$200,000 or more",13745,,,,,
93927,"$1 under $25,000",66661,,,,,
93927,"$25,000 under $50,000",74649,,,,,
93927,"$50,000 under $75,000",45509,,,,,
93927,"$75,000 under $100,000",24031,,,,,
93927,"$100,000 under $200,000",25902,,,,,
93927,"$200,000 or more",21991,,,,,
93930,"$1 under $25,000",60919,,,,,
93930,"$25,000 under $50,000",65243,,,,,
93930,"$50,000 under $75,000",37275,,,,,
93930,"$75,000 under $100,000",29555,,,,,
93930,"$100,000 under $200,000",42502,,,,,
93930,"$200,000 or more",23156,,,,,
93933,"$1 under $25,000",49135,,,,,
93933,"$25,000 under $50,000",96387,,,,,
93933,"$50,000 under $75,000",95661,,,,,
93933,"$75,000 under $100,000",69225,,,,,
93933,"$100,000 under $200,000",114461,,,,,
93933,"$200,000 or more",19531,,,,,
93940,"$1 under $25,000",52498,,,,,
93940,"$25,000 under $50,000",115266,,,,,
93940,"$50,000 under $75,000",145236,,,,,
93940,"$75,000 under $100,000",128121,,,,,
93940,"$100,000 under $200,000",256809,,,,,
93940,"$200,000 or more",388512,,,,,
93950,"$1 under $25,000",28987,,,,,
93950,"$25,000 under $50,000",65673,,,,,
93950,"$50,000 under $75,000",78356,,,,,
93950,"$75,000 under $100,000",69968,,,,,
93950,"$100,000 under $200,000",153786,,,,,
93950,"$200,000 or more",202903,,,,,
93953,"$1 under $25,000",4670,,,,,
93953,"$25,000 under $50,000",11669,,,,,
93953,"$50,000 under $75,000",16040,,,,,
93953,"$75,000 under $100,000",20443,,,,,
93953,"$100,000 under $200,000",70680,,,,,
93953,"$200,000 or more",293875,,,,,
93955,"$1 under $25,000",80922,,,,,
93955,"$25,000 under $50,000",147320,,,,,
93955,"$50,000 under $75,000",112510,,,,,
93955,"$75,000 under $100,000",83632,,,,,
93955,"$100,000 under $200,000",110566,,,,,
93955,"$200,000 or more",32460,,,,,
93960,"$1 under $25,000",48109,,,,,
93960,"$25,000 under $50,000",69865,,,,,
93960,"$50,000 under $75,000",52367,,,,,
93960,"$75,000 under $100,000",38460,,,,,
93960,"$100,000 under $200,000",45441,,,,,
93960,"$200,000 or more",984069,,,,,
94002,"$1 under $25,000",35462,,,,,
94002,"$25,000 under $50,000",82686,,,,,
94002,"$50,000 under $75,000",111197,,,,,
94002,"$75,000 under $100,000",111441,,,,,
94002,"$100,000 under $200,000",400813,,,,,
94002,"$200,000 or more",697589,,,,,
94005,"$1 under $25,000",7136,,,,,
94005,"$25,000 under $50,000",17292,,,,,
94005,"$50,000 under $75,000",24342,,,,,
94005,"$75,000 under $100,000",22651,,,,,
94005,"$100,000 under $200,000",79394,,,,,
94005,"$200,000 or more",101589,,,,,
94010,"$1 under $25,000",53503,,,,,
94010,"$25,000 under $50,000",114964,,,,,
94010,"$50,000 under $75,000",147905,,,,,
94010,"$75,000 under $100,000",145003,,,,,
94010,"$100,000 under $200,000",481672,,,,,
94010,"$200,000 or more",3707220,,,,,
94014,"$1 under $25,000",102029,,,,,
94014,"$25,000 under $50,000",235446,,,,,
94014,"$50,000 under $75,000",207494,,,,,
94014,"$75,000 under $100,000",158884,,,,,
94014,"$100,000 under $200,000",257847,,,,,
94014,"$200,000 or more",74009,,,,,
94015,"$1 under $25,000",119081,,,,,
94015,"$25,000 under $50,000",285792,,,,,
94015,"$50,000 under $75,000",303894,,,,,
94015,"$75,000 under $100,000",264849,,,,,
94015,"$100,000 under $200,000",504801,,,,,
94015,"$200,000 or more",145144,,,,,
94019,"$1 under $25,000",27458,,,,,
94019,"$25,000 under $50,000",50180,,,,,
94019,"$50,000 under $75,000",56530,,,,,
94019,"$75,000 under $100,000",53672,,,,,
94019,"$100,000 under $200,000",171833,,,,,
94019,"$200,000 or more",394000,,,,,
94020,"$1 under $25,000",1924,,,,,
94020,"$25,000 under $50,000",4711,,,,,
94020,"$50,000 under $75,000",7607,,,,,
94020,"$75,000 under $100,000",8066,,,,,
94020,"$100,000 under $200,000",23468,,,,,
94020,"$200,000 or more",26931,,,,,
94021,"$1 under $25,000",1102,,,,,
94021,"$25,000 under $50,000",,,,,,
94021,"$50,000 under $75,000",6149,,,,,
94021,"$75,000 under $100,000",,,,,,
94021,"$100,000 under $200,000",,,,,,
94021,"$200,000 or more",,,,,,
94022,"$1 under $25,000",18721,,,,,
94022,"$25,000 under $50,000",35178,,,,,
94022,"$50,000 under $75,000",49326,,,,,
94022,"$75,000 under $100,000",55537,,,,,
94022,"$100,000 under $200,000",252012,,,,,
94022,"$200,000 or more",3171259,,,,,
94024,"$1 under $25,000",20350,,,,,
94024,"$25,000 under $50,000",34968,,,,,
94024,"$50,000 under $75,000",49346,,,,,
94024,"$75,000 under $100,000",66620,,,,,
94024,"$100,000 under $200,000",300621,,,,,
94024,"$200,000 or more",2322363,,,,,
94025,"$1 under $25,000",50854,,,,,
94025,"$25,000 under $50,000",114988,,,,,
94025,"$50,000 under $75,000",133666,,,,,
94025,"$75,000 under $100,000",129756,,,,,
94025,"$100,000 under $200,000",493349,,,,,
94025,"$200,000 or more",3176039,,,,,
94027,"$1 under $25,000",6435,,,,,
94027,"$25,000 under $50,000",10460,,,,,
94027,"$50,000 under $75,000",14097,,,,,
94027,"$75,000 under $100,000",14416,,,,,
94027,"$100,000 under $200,000",67754,,,,,
94027,"$200,000 or more",3008207,,,,,
94028,"$1 under $25,000",7070,,,,,
94028,"$25,000 under $50,000",12328,,,,,
94028,"$50,000 under $75,000",15936,,,,,
94028,"$75,000 under $100,000",19429,,,,,
94028,"$100,000 under $200,000",84611,,,,,
94028,"$200,000 or more",1475602,,,,,
94030,"$1 under $25,000",35297,,,,,
94030,"$25,000 under $50,000",81058,,,,,
94030,"$50,000 under $75,000",96465,,,,,
94030,"$75,000 under $100,000",94938,,,,,
94030,"$100,000 under $200,000",294729,,,,,
94030,"$200,000 or more",304528,,,,,
94038,"$1 under $25,000",5151,,,,,
94038,"$25,000 under $50,000",9621,,,,,
94038,"$50,000 under $75,000",10633,,,,,
94038,"$75,000 under $100,000",9983,,,,,
94038,"$100,000 under $200,000",40389,,,,,
94038,"$200,000 or more",44500,,,,,
94040,"$1 under $25,000",50654,,,,,
94040,"$25,000 under $50,000",106424,,,,,
94040,"$50,000 under $75,000",108125,,,,,
94040,"$75,000 under $100,000",131399,,,,,
94040,"$100,000 under $200,000",430738,,,,,
94040,"$200,000 or more",858337,,,,,
94041,"$1 under $25,000",23531,,,,,
94041,"$25,000 under $50,000",48795,,,,,
94041,"$50,000 under $75,000",56342,,,,,
94041,"$75,000 under $100,000",61188,,,,,
94041,"$100,000 under $200,000",202157,,,,,
94041,"$200,000 or more",429221,,,,,
94043,"$1 under $25,000",43307,,,,,
94043,"$25,000 under $50,000",103986,,,,,
94043,"$50,000 under $75,000",125114,,,,,
94043,"$75,000 under $100,000",136215,,,,,
94043,"$100,000 under $200,000",445377,,,,,
94043,"$200,000 or more",605535,,,,,
94044,"$1 under $25,000",61015,,,,,
94044,"$25,000 under $50,000",143735,,,,,
94044,"$50,000 under $75,000",181334,,,,,
94044,"$75,000 under $100,000",190735,,,,,
94044,"$100,000 under $200,000",538559,,,,,
94044,"$200,000 or more",299733,,,,,
94060,"$1 under $25,000",6252,,,,,
94060,"$25,000 under $50,000",6628,,,,,
94060,"$50,000 under $75,000",5679,,,,,
94060,"$75,000 under $100,000",3530,,,,,
94060,"$100,000 under $200,000",8835,,,,,
94060,"$200,000 or more",14401,,,,,
94061,"$1 under $25,000",66168,,,,,
94061,"$25,000 under $50,000",136392,,,,,
94061,"$50,000 under $75,000",141160,,,,,
94061,"$75,000 under $100,000",134757,,,,,
94061,"$100,000 under $200,000",381975,,,,,
94061,"$200,000 or more",479622,,,,,
94062,"$1 under $25,000",34577,,,,,
94062,"$25,000 under $50,000",68128,,,,,
94062,"$50,000 under $75,000",87679,,,,,
94062,"$75,000 under $100,000",93090,,,,,
94062,"$100,000 under $200,000",350871,,,,,
94062,"$200,000 or more",2694073,,,,,
94063,"$1 under $25,000",75686,,,,,
94063,"$25,000 under $50,000",129582,,,,,
94063,"$50,000 under $75,000",96053,,,,,
94063,"$75,000 under $100,000",65235,,,,,
94063,"$100,000 under $200,000",116242,,,,,
94063,"$200,000 or more",74697,,,,,
94065,"$1 under $25,000",10046,,,,,
94065,"$25,000 under $50,000",26935,,,,,
94065,"$50,000 under $75,000",39815,,,,,
94065,"$75,000 under $100,000",54512,,,,,
94065,"$100,000 under $200,000",237015,,,,,
94065,"$200,000 or more",713202,,,,,
94066,"$1 under $25,000",83469,,,,,
94066,"$25,000 under $50,000",194187,,,,,
94066,"$50,000 under $75,000",209536,,,,,
94066,"$75,000 under $100,000",184973,,,,,
94066,"$100,000 under $200,000",429708,,,,,
94066,"$200,000 or more",247459,,,,,
94070,"$1 under $25,000",35992,,,,,
94070,"$25,000 under $50,000",79729,,,,,
94070,"$50,000 under $75,000",106269,,,,,
94070,"$75,000 under $100,000",122931,,,,,
94070,"$100,000 under $200,000",494819,,,,,
94070,"$200,000 or more",1196486,,,,,
94074,"$1 under $25,000",340,,,,,
94074,"$25,000 under $50,000",1016,,,,,
94074,"$50,000 under $75,000",6560,,,,,
94074,"$75,000 under $100,000",,,,,,
94074,"$100,000 under $200,000",,,,,,
94074,"$200,000 or more",,,,,,
94080,"$1 under $25,000",128486,,,,,
94080,"$25,000 under $50,000",286911,,,,,
94080,"$50,000 under $75,000",304404,,,,,
94080,"$75,000 under $100,000",264023,,,,,
94080,"$100,000 under $200,000",607667,,,,,
94080,"$200,000 or more",331946,,,,,
94085,"$1 under $25,000",41092,,,,,
94085,"$25,000 under $50,000",82644,,,,,
94085,"$50,000 under $75,000",87657,,,,,
94085,"$75,000 under $100,000",93307,,,,,
94085,"$100,000 under $200,000",265097,,,,,
94085,"$200,000 or more",153423,,,,,
94086,"$1 under $25,000",76840,,,,,
94086,"$25,000 under $50,000",158250,,,,,
94086,"$50,000 under $75,000",205037,,,,,
94086,"$75,000 under $100,000",223627,,,,,
94086,"$100,000 under $200,000",633105,,,,,
94086,"$200,000 or more",597595,,,,,
94087,"$1 under $25,000",68852,,,,,
94087,"$25,000 under $50,000",133719,,,,,
94087,"$50,000 under $75,000",172589,,,,,
94087,"$75,000 under $100,000",195428,,,,,
94087,"$100,000 under $200,000",812335,,,,,
94087,"$200,000 or more",1471601,,,,,
94089,"$1 under $25,000",37704,,,,,
94089,"$25,000 under $50,000",79785,,,,,
94089,"$50,000 under $75,000",89781,,,,,
94089,"$75,000 under $100,000",103168,,,,,
94089,"$100,000 under $200,000",247067,,,,,
94089,"$200,000 or more",146495,,,,,
94102,"$1 under $25,000",74668,,,,,
94102,"$25,000 under $50,000",141309,,,,,
94102,"$50,000 under $75,000",107818,,,,,
94102,"$75,000 under $100,000",73242,,,,,
94102,"$100,000 under $200,000",135467,,,,,
94102,"$200,000 or more",149616,,,,,
94103,"$1 under $25,000",62090,,,,,
94103,"$25,000 under $50,000",122145,,,,,
94103,"$50,000 under $75,000",101145,,,,,
94103,"$75,000 under $100,000",85351,,,,,
94103,"$100,000 under $200,000",210861,,,,,
94103,"$200,000 or more",315049,,,,,
94104,"$1 under $25,000",4094,,,,,
94104,"$25,000 under $50,000",9427,,,,,
94104,"$50,000 under $75,000",10554,,,,,
94104,"$75,000 under $100,000",7051,,,,,
94104,"$100,000 under $200,000",31327,,,,,
94104,"$200,000 or more",314574,,,,,
94105,"$1 under $25,000",7493,,,,,
94105,"$25,000 under $50,000",21737,,,,,
94105,"$50,000 under $75,000",36413,,,,,
94105,"$75,000 under $100,000",45847,,,,,
94105,"$100,000 under $200,000",166243,,,,,
94105,"$200,000 or more",845029,,,,,
94107,"$1 under $25,000",39066,,,,,
94107,"$25,000 under $50,000",90705,,,,,
94107,"$50,000 under $75,000",133809,,,,,
94107,"$75,000 under $100,000",149436,,,,,
94107,"$100,000 under $200,000",504042,,,,,
94107,"$200,000 or more",920875,,,,,
94108,"$1 under $25,000",34136,,,,,
94108,"$25,000 under $50,000",60079,,,,,
94108,"$50,000 under $75,000",54482,,,,,
94108,"$75,000 under $100,000",39740,,,,,
94108,"$100,000 under $200,000",76008,,,,,
94108,"$200,000 or more",617394,,,,,
94109,"$1 under $25,000",117935,,,,,
94109,"$25,000 under $50,000",279971,,,,,
94109,"$50,000 under $75,000",308238,,,,,
94109,"$75,000 under $100,000",264985,,,,,
94109,"$100,000 under $200,000",574684,,,,,
94109,"$200,000 or more",1130818,,,,,
94110,"$1 under $25,000",172425,,,,,
94110,"$25,000 under $50,000",362156,,,,,
94110,"$50,000 under $75,000",323129,,,,,
94110,"$75,000 under $100,000",270885,,,,,
94110,"$100,000 under $200,000",664981,,,,,
94110,"$200,000 or more",767338,,,,,
94111,"$1 under $25,000",6982,,,,,
94111,"$25,000 under $50,000",14432,,,,,
94111,"$50,000 under $75,000",18547,,,,,
94111,"$75,000 under $100,000",22292,,,,,
94111,"$100,000 under $200,000",77250,,,,,
94111,"$200,000 or more",1314622,,,,,
94112,"$1 under $25,000",204293,,,,,
94112,"$25,000 under $50,000",389007,,,,,
94112,"$50,000 under $75,000",320680,,,,,
94112,"$75,000 under $100,000",231615,,,,,
94112,"$100,000 under $200,000",427407,,,,,
94112,"$200,000 or more",191676,,,,,
94114,"$1 under $25,000",52989,,,,,
94114,"$25,000 under $50,000",150586,,,,,
94114,"$50,000 under $75,000",210736,,,,,
94114,"$75,000 under $100,000",210880,,,,,
94114,"$100,000 under $200,000",583887,,,,,
94114,"$200,000 or more",1443811,,,,,
94115,"$1 under $25,000",60396,,,,,
94115,"$25,000 under $50,000",148964,,,,,
94115,"$50,000 under $75,000",169260,,,,,
94115,"$75,000 under $100,000",154037,,,,,
94115,"$100,000 under $200,000",383495,,,,,
94115,"$200,000 or more",2105902,,,,,
94116,"$1 under $25,000",87417,,,,,
94116,"$25,000 under $50,000",175830,,,,,
94116,"$50,000 under $75,000",197395,,,,,
94116,"$75,000 under $100,000",181582,,,,,
94116,"$100,000 under $200,000",455843,,,,,
94116,"$200,000 or more",561705,,,,,
94117,"$1 under $25,000",75970,,,,,
94117,"$25,000 under $50,000",193148,,,,,
94117,"$50,000 under $75,000",226037,,,,,
94117,"$75,000 under $100,000",193195,,,,,
94117,"$100,000 under $200,000",481098,,,,,
94117,"$200,000 or more",971499,,,,,
94118,"$1 under $25,000",71656,,,,,
94118,"$25,000 under $50,000",160424,,,,,
94118,"$50,000 under $75,000",184047,,,,,
94118,"$75,000 under $100,000",157740,,,,,
94118,"$100,000 under $200,000",393326,,,,,
94118,"$200,000 or more",1787678,,,,,
94121,"$1 under $25,000",86459,,,,,
94121,"$25,000 under $50,000",182014,,,,,
94121,"$50,000 under $75,000",205302,,,,,
94121,"$75,000 under $100,000",174236,,,,,
94121,"$100,000 under $200,000",385501,,,,,
94121,"$200,000 or more",793991,,,,,
94122,"$1 under $25,000",119915,,,,,
94122,"$25,000 under $50,000",258699,,,,,
94122,"$50,000 under $75,000",282522,,,,,
94122,"$75,000 under $100,000",243493,,,,,
94122,"$100,000 under $200,000",567362,,,,,
94122,"$200,000 or more",499900,,,,,
94123,"$1 under $25,000",28372,,,,,
94123,"$25,000 under $50,000",90086,,,,,
94123,"$50,000 under $75,000",154614,,,,,
94123,"$75,000 under $100,000",167497,,,,,
94123,"$100,000 under $200,000",436544,,,,,
94123,"$200,000 or more",2022317,,,,,
94124,"$1 under $25,000",94236,,,,,
94124,"$25,000 under $50,000",161334,,,,,
94124,"$50,000 under $75,000",117573,,,,,
94124,"$75,000 under $100,000",71661,,,,,
94124,"$100,000 under $200,000",91375,,,,,
94124,"$200,000 or more",30079,,,,,
94127,"$1 under $25,000",26857,,,,,
94127,"$25,000 under $50,000",57107,,,,,
94127,"$50,000 under $75,000",72102,,,,,
94127,"$75,000 under $100,000",81856,,,,,
94127,"$100,000 under $200,000",315370,,,,,
94127,"$200,000 or more",774310,,,,,
94129,"$1 under $25,000",5250,,,,,
94129,"$25,000 under $50,000",13938,,,,,
94129,"$50,000 under $75,000",16252,,,,,
94129,"$75,000 under $100,000",13691,,,,,
94129,"$100,000 under $200,000",36895,,,,,
94129,"$200,000 or more",332675,,,,,
94130,"$1 under $25,000",5422,,,,,
94130,"$25,000 under $50,000",9966,,,,,
94130,"$50,000 under $75,000",4763,,,,,
94130,"$75,000 under $100,000",2420,,,,,
94130,"$100,000 under $200,000",6384,,,,,
94130,"$200,000 or more",,,,,,
94131,"$1 under $25,000",40987,,,,,
94131,"$25,000 under $50,000",108789,,,,,
94131,"$50,000 under $75,000",150983,,,,,
94131,"$75,000 under $100,000",157333,,,,,
94131,"$100,000 under $200,000",439612,,,,,
94131,"$200,000 or more",837483,,,,,
94132,"$1 under $25,000",51251,,,,,
94132,"$25,000 under $50,000",99767,,,,,
94132,"$50,000 under $75,000",106849,,,,,
94132,"$75,000 under $100,000",97243,,,,,
94132,"$100,000 under $200,000",223230,,,,,
94132,"$200,000 or more",184328,,,,,
94133,"$1 under $25,000",62499,,,,,
94133,"$25,000 under $50,000",111593,,,,,
94133,"$50,000 under $75,000",118281,,,,,
94133,"$75,000 under $100,000",97571,,,,,
94133,"$100,000 under $200,000",229776,,,,,
94133,"$200,000 or more",779777,,,,,
94134,"$1 under $25,000",104568,,,,,
94134,"$25,000 under $50,000",195192,,,,,
94134,"$50,000 under $75,000",167156,,,,,
94134,"$75,000 under $100,000",115024,,,,,
94134,"$100,000 under $200,000",187741,,,,,
94134,"$200,000 or more",59072,,,,,
94158,"$1 under $25,000",4657,,,,,
94158,"$25,000 under $50,000",16949,,,,,
94158,"$50,000 under $75,000",19105,,,,,
94158,"$75,000 under $100,000",21125,,,,,
94158,"$100,000 under $200,000",79370,,,,,
94158,"$200,000 or more",120475,,,,,
94301,"$1 under $25,000",16892,,,,,
94301,"$25,000 under $50,000",39794,,,,,
94301,"$50,000 under $75,000",54742,,,,,
94301,"$75,000 under $100,000",61960,,,,,
94301,"$100,000 under $200,000",233976,,,,,
94301,"$200,000 or more",2653694,,,,,
94303,"$1 under $25,000",90234,,,,,
94303,"$25,000 under $50,000",165643,,,,,
94303,"$50,000 under $75,000",122893,,,,,
94303,"$75,000 under $100,000",102271,,,,,
94303,"$100,000 under $200,000",331351,,,,,
94303,"$200,000 or more",2080750,,,,,
94304,"$1 under $25,000",2519,,,,,
94304,"$25,000 under $50,000",8651,,,,,
94304,"$50,000 under $75,000",18580,,,,,
94304,"$75,000 under $100,000",17606,,,,,
94304,"$100,000 under $200,000",62836,,,,,
94304,"$200,000 or more",821484,,,,,
94305,"$1 under $25,000",12064,,,,,
94305,"$25,000 under $50,000",34594,,,,,
94305,"$50,000 under $75,000",12576,,,,,
94305,"$75,000 under $100,000",12055,,,,,
94305,"$100,000 under $200,000",50506,,,,,
94305,"$200,000 or more",551488,,,,,
94306,"$1 under $25,000",32796,,,,,
94306,"$25,000 under $50,000",73120,,,,,
94306,"$50,000 under $75,000",89073,,,,,
94306,"$75,000 under $100,000",97031,,,,,
94306,"$100,000 under $200,000",377639,,,,,
94306,"$200,000 or more",1503039,,,,,
94401,"$1 under $25,000",73865,,,,,
94401,"$25,000 under $50,000",143747,,,,,
94401,"$50,000 under $75,000",140852,,,,,
94401,"$75,000 under $100,000",131903,,,,,
94401,"$100,000 under $200,000",266513,,,,,
94401,"$200,000 or more",227517,,,,,
94402,"$1 under $25,000",33917,,,,,
94402,"$25,000 under $50,000",74094,,,,,
94402,"$50,000 under $75,000",95826,,,,,
94402,"$75,000 under $100,000",100361,,,,,
94402,"$100,000 under $200,000",348329,,,,,
94402,"$200,000 or more",1176090,,,,,
94403,"$1 under $25,000",67741,,,,,
94403,"$25,000 under $50,000",145154,,,,,
94403,"$50,000 under $75,000",181789,,,,,
94403,"$75,000 under $100,000",177373,,,,,
94403,"$100,000 under $200,000",523895,,,,,
94403,"$200,000 or more",1141393,,,,,
94404,"$1 under $25,000",38140,,,,,
94404,"$25,000 under $50,000",90652,,,,,
94404,"$50,000 under $75,000",138957,,,,,
94404,"$75,000 under $100,000",180295,,,,,
94404,"$100,000 under $200,000",593896,,,,,
94404,"$200,000 or more",768069,,,,,
94501,"$1 under $25,000",115781,,,,,
94501,"$25,000 under $50,000",265309,,,,,
94501,"$50,000 under $75,000",312297,,,,,
94501,"$75,000 under $100,000",256634,,,,,
94501,"$100,000 under $200,000",585234,,,,,
94501,"$200,000 or more",449677,,,,,
94502,"$1 under $25,000",16037,,,,,
94502,"$25,000 under $50,000",35306,,,,,
94502,"$50,000 under $75,000",51329,,,,,
94502,"$75,000 under $100,000",65668,,,,,
94502,"$100,000 under $200,000",240121,,,,,
94502,"$200,000 or more",277738,,,,,
94503,"$1 under $25,000",32586,,,,,
94503,"$25,000 under $50,000",70951,,,,,
94503,"$50,000 under $75,000",80398,,,,,
94503,"$75,000 under $100,000",74886,,,,,
94503,"$100,000 under $200,000",191696,,,,,
94503,"$200,000 or more",54415,,,,,
