Zip Code,Size AGI,Adjusted Gross Income,,,,,
90068,"$200,000 or more",605023,,,,,
90069,"$1 under $25,000",49894,,,,,
90069,"$25,000 under $50,000",113992,,,,,
90069,"$50,000 under $75,000",132965,,,,,
90069,"$75,000 under $100,000",123437,,,,,
90069,"$100,000 under $200,000",285770,,,,,
90069,"$200,000 or more",1235198,,,,,
90077,"$1 under $25,000",9774,,,,,
90077,"$25,000 under $50,000",17725,,,,,
90077,"$50,000 under $75,000",20877,,,,,
90077,"$75,000 under $100,000",24688,,,,,
90077,"$100,000 under $200,000",104992,,,,,
90077,"$200,000 or more",1237979,,,,,
90094,"$1 under $25,000",6654,,,,,
90094,"$25,000 under $50,000",17703,,,,,
90094,"$50,000 under $75,000",23598,,,,,
90094,"$75,000 under $100,000",29273,,,,,
90094,"$100,000 under $200,000",94968,,,,,
90094,"$200,000 or more",141430,,,,,
90201,"$1 under $25,000",299934,,,,,
90201,"$25,000 under $50,000",373542,,,,,
90201,"$50,000 under $75,000",171548,,,,,
90201,"$75,000 under $100,000",60869,,,,,
90201,"$100,000 under $200,000",37065,,,,,
90201,"$200,000 or more",9036,,,,,
90210,"$1 under $25,000",26223,,,,,
90210,"$25,000 under $50,000",50750,,,,,
90210,"$50,000 under $75,000",50983,,,,,
90210,"$75,000 under $100,000",56340,,,,,
90210,"$100,000 under $200,000",200141,,,,,
90210,"$200,000 or more",4910245,,,,,
90211,"$1 under $25,000",19604,,,,,
90211,"$25,000 under $50,000",39084,,,,,
90211,"$50,000 under $75,000",41675,,,,,
90211,"$75,000 under $100,000",39618,,,,,
90211,"$100,000 under $200,000",97220,,,,,
90211,"$200,000 or more",471575,,,,,
90212,"$1 under $25,000",24445,,,,,
90212,"$25,000 under $50,000",47750,,,,,
90212,"$50,000 under $75,000",58713,,,,,
90212,"$75,000 under $100,000",55622,,,,,
90212,"$100,000 under $200,000",152443,,,,,
90212,"$200,000 or more",2447894,,,,,
90220,"$1 under $25,000",155287,,,,,
90220,"$25,000 under $50,000",214660,,,,,
90220,"$50,000 under $75,000",132544,,,,,
90220,"$75,000 under $100,000",63176,,,,,
90220,"$100,000 under $200,000",54694,,,,,
90220,"$200,000 or more",41970,,,,,
90221,"$1 under $25,000",174094,,,,,
90221,"$25,000 under $50,000",208577,,,,,
90221,"$50,000 under $75,000",100337,,,,,
90221,"$75,000 under $100,000",42041,,,,,
90221,"$100,000 under $200,000",36354,,,,,
90221,"$200,000 or more",,,,,,
90222,"$1 under $25,000",101705,,,,,
90222,"$25,000 under $50,000",123369,,,,,
90222,"$50,000 under $75,000",61894,,,,,
90222,"$75,000 under $100,000",28478,,,,,
90222,"$100,000 under $200,000",18057,,,,,
90222,"$200,000 or more",,,,,,
90230,"$1 under $25,000",61445,,,,,
90230,"$25,000 under $50,000",121795,,,,,
90230,"$50,000 under $75,000",153381,,,,,
90230,"$75,000 under $100,000",132118,,,,,
90230,"$100,000 under $200,000",328731,,,,,
90230,"$200,000 or more",244551,,,,,
90232,"$1 under $25,000",33503,,,,,
90232,"$25,000 under $50,000",72587,,,,,
90232,"$50,000 under $75,000",75847,,,,,
