Zip Code,2006-2012 Pills
93458,2732650
93460,1154240
93463,1975910
93465,647303
93501,2639330
93505,4901780
93510,922400
93514,5173500
93516,900
93529,1800
93534,32954470
93535,10089920
93536,16812273
93539,10860
93545,542560
93546,1682880
93550,5038450
93551,15143783
93552,10778590
93555,12322390
93560,5559430
93561,8374580
93601,600
93602,1700
93604,3000
93609,591830
93610,4417290
93611,16196445
93612,18367160
93614,1400
93615,104400
93618,6548890
93619,3180
93620,1498120
93622,844200
93625,900680
93626,1210170
93630,2692170
93631,5704300
93635,9979110
93636,219130
93637,11919715
93638,2539000
93640,457020
93643,200
93644,10605880
93646,374700
93647,8500
93648,578600
93650,1661100
93651,2008520
93654,5183250
93656,674800
93657,5155210
93660,116000
93662,8847400
93667,100
93701,1283050
93702,2459330
93703,7461320
93704,1938466
93705,7644900
93706,5010035
93710,16708084
93711,14056870
93720,27569670
93721,1532324
93722,12158170
93725,12230
93726,24129560
93727,16295010
93728,3259860
93730,227406
93740,49040
93901,15900925
93905,4900070
93906,12114230
93907,7925510
93908,15700
93920,3400
93921,532300
93922,1300
93923,4333857
93924,4300
93926,830700
93927,1620390
93930,2352850
93933,5242630
93940,13555550
93944,100
93950,3125730
93955,8054750
93960,1943930
94002,2024435
94005,100
94010,5132352
94014,3161400
94015,10924084
94019,4407580
94022,1908630
94024,1349730
94025,5005810
94027,6372
94028,2600
94030,2798800
94037,200
94038,5000
94040,9112650
94041,9223230
94043,1625200
94044,4885640
94060,2700
94061,4190900
94062,2184970
94063,12401040
94065,631000
94066,8136010
94070,6199790
94080,20117430
94085,14740
94086,1653260
94087,8254370
94102,10669570
94103,7497840
94104,855620
94105,1049370
94107,1434183
94108,1187510
94109,9526832
94110,11356556
94111,1006490
94112,5738220
94114,19243840
94115,17008310
94116,2414480
94117,5290250
94118,7931950
94121,2851360
94122,5024310
94123,3552960
94124,3395400
94125,6400
94127,2316830
94128,1400
94130,1200
94131,1296210
94132,2358990
94133,1738460
94134,2286670
94143,644300
94301,3982830
94303,109600
94304,3301860
94305,43075
94306,3866090
94401,5151800
94402,4482500
94403,4494635
94404,3161414
94501,10380310
94502,1559635
94503,2319330
94505,1706830
94506,2272290
94507,2006640
94509,13512230
94510,6760112
94513,10908820
94514,340500
94515,512800
94517,2889030
94518,476100
94519,4223760
94520,12446954
94521,5669690
94523,7639636
94526,4527540
94530,6274820
94531,19386750
94533,20418410
94534,3630120
94536,5140410
94538,23682262
94539,2332680
94541,6661040
94542,42500
94544,7557480
94545,13987285
94546,14617825
94547,2875520
94549,2250185
94550,368045810
94551,3751920
94552,3430
94553,16532515
94555,2530030
94556,1606210
94558,17715095
94559,6563200
94560,2180960
94561,5586050
94563,1898475
94564,7952105
94565,14606300
94566,7062610
94567,100
94568,3945710
94571,2491100
94574,2320090
94577,7200270
94578,8638440
94579,7151130
94580,1442500
94582,375980
94583,12434194
94585,2722380
94587,23386960
94588,11507050
94589,7414850
94590,20623314
94591,6513130
94592,3600
94595,1826220
94596,16627601
94597,2899860
94598,17069810
94599,1501860
94601,6392870
94602,2814300
94605,3462280
94606,1994850
94607,2772030
94608,8120506
94609,10837330
94610,1605380
94611,16900836
94612,4715026
94618,391600
