Zip Code,Counts
92119,1618.0
90024,1617.0
91765,1608.0
94306,1606.0
94551,1599.0
92782,1593.0
91331,1591.0
92706,1590.0
90603,1589.0
94561,1583.0
93013,1582.0
92058,1568.0
96161,1567.0
93215,1563.0
94589,1558.0
95620,1553.0
92501,1549.0
91303,1547.0
90245,1547.0
90022,1540.0
91387,1540.0
94568,1532.0
95010,1523.0
92508,1522.0
91607,1521.0
92504,1521.0
91750,1518.0
93705,1516.0
95409,1511.0
94952,1509.0
92264,1508.0
93405,1508.0
91901,1506.0
92108,1503.0
94123,1499.0
90016,1496.0
95616,1494.0
93654,1489.0
92610,1489.0
92555,1484.0
90280,1484.0
91722,1481.0
92315,1480.0
96021,1479.0
91762,1479.0
91711,1478.0
92105,1476.0
95826,1473.0
95828,1470.0
92672,1467.0
92637,1460.0
92131,1457.0
94061,1450.0
94044,1447.0
93268,1445.0
91007,1444.0
95129,1442.0
91606,1441.0
90265,1436.0
95824,1427.0
90007,1417.0
90041,1409.0
93305,1409.0
91411,1396.0
93905,1391.0
95066,1386.0
93560,1380.0
91010,1375.0
92532,1375.0
96093,1371.0
95377,1370.0
94608,1360.0
95746,1357.0
95407,1346.0
92802,1342.0
90033,1338.0
90262,1337.0
94804,1336.0
92867,1334.0
93610,1328.0
91042,1313.0
95834,1313.0
95618,1307.0
90405,1307.0
91345,1302.0
95127,1301.0
90303,1300.0
90006,1298.0
94612,1294.0
90255,1288.0
90291,1288.0
95018,1288.0
95425,1281.0
92832,1280.0
91915,1273.0
93550,1265.0
90717,1264.0
90723,1263.0
93514,1263.0
94301,1263.0
93238,1261.0
90008,1260.0
95988,1258.0
91204,1257.0
95249,1254.0
94041,1252.0
93041,1251.0
94534,1249.0
94519,1246.0
94536,1246.0
93449,1245.0
95948,1239.0
93923,1218.0
90813,1216.0
92127,1216.0
92831,1213.0
95519,1209.0
90680,1209.0
95776,1207.0
94803,1207.0
95014,1204.0
90201,1203.0
91502,1203.0
91770,1198.0
94404,1197.0
91766,1196.0
95203,1190.0
92694,1188.0
95404,1184.0
95212,1182.0
95366,1177.0
91763,1176.0
94801,1173.0
94030,1171.0
92337,1165.0
90026,1165.0
90274,1157.0
95206,1154.0
95148,1152.0
92075,1148.0
96073,1140.0
91311,1136.0
95963,1132.0
94014,1130.0
93706,1129.0
93950,1129.0
94960,1123.0
95383,1122.0
95971,1121.0
91384,1121.0
94539,1116.0
92121,1115.0
94607,1112.0
92014,1111.0
90701,1107.0
93210,1099.0
95932,1098.0
91945,1098.0
95341,1097.0
90064,1095.0
90057,1094.0
94517,1084.0
91104,1070.0
94602,1067.0
95360,1066.0
90605,1066.0
95841,1065.0
90038,1064.0
93004,1061.0
93108,1060.0
92371,1055.0
95954,1052.0
95121,1047.0
92231,1047.0
94062,1045.0
95446,1041.0
90601,1036.0
92663,1034.0
96013,1033.0
95542,1031.0
93212,1029.0
95820,1026.0
94571,1021.0
94132,1020.0
90220,1016.0
92118,1015.0
90240,1014.0
91744,1013.0
96067,1011.0
92844,1010.0
91381,1008.0
95112,1005.0
90066,997.0
90020,994.0
94621,992.0
94124,986.0
95726,986.0
91205,978.0
90019,974.0
92130,974.0
93505,973.0
95222,971.0
90670,967.0
95320,966.0
91340,966.0
93103,965.0
95138,963.0
93012,957.0
91601,956.0
94304,954.0
95132,950.0
94002,950.0
92602,940.0
95209,939.0
90212,934.0
92887,932.0
90623,928.0
95742,925.0
90744,924.0
94597,924.0
95640,921.0
