Zip Code,Counts
95321,4404.0
96020,4383.0
94556,4376.0
95357,4374.0
95602,4319.0
92841,4305.0
93428,4278.0
92029,4265.0
92620,4244.0
93225,4223.0
95136,4179.0
92549,4178.0
94107,4162.0
94939,4134.0
92866,4108.0
95237,4103.0
95326,4091.0
92236,4088.0
93638,4075.0
96019,4064.0
93280,4062.0
92707,4054.0
90067,4048.0
91731,4032.0
91354,3961.0
95133,3945.0
95247,3944.0
94710,3941.0
91343,3935.0
92606,3931.0
92883,3919.0
95006,3903.0
93460,3864.0
95135,3838.0
93263,3830.0
92539,3812.0
94606,3810.0
95722,3775.0
91739,3756.0
92805,3755.0
93704,3754.0
96143,3744.0
93546,3733.0
92107,3729.0
94105,3723.0
95946,3687.0
90059,3675.0
95818,3656.0
92317,3646.0
96022,3638.0
94505,3635.0
92363,3618.0
92703,3601.0
90037,3586.0
90071,3581.0
90095,3578.0
92277,3543.0
90275,3541.0
93427,3539.0
92394,3526.0
94580,3524.0
95692,3520.0
93701,3515.0
94131,3512.0
94702,3502.0
91784,3473.0
91789,3468.0
90029,3463.0
96122,3440.0
94108,3417.0
95073,3415.0
95468,3415.0
96055,3414.0
92377,3412.0
93620,3406.0
93463,3398.0
93651,3346.0
95838,3314.0
91020,3289.0
91776,3288.0
93433,3283.0
92625,3269.0
92313,3179.0
92320,3178.0
96094,3154.0
94703,3097.0
95987,3079.0
94111,3067.0
90043,3029.0
95365,3020.0
95324,3019.0
95959,2997.0
90249,2986.0
93286,2982.0
90013,2966.0
95070,2953.0
90746,2940.0
95460,2912.0
95947,2904.0
90011,2900.0
94024,2897.0
90221,2891.0
95322,2878.0
92679,2876.0
94707,2870.0
95814,2867.0
92210,2788.0
94104,2783.0
92582,2743.0
91733,2735.0
94965,2722.0
90031,2722.0
91108,2694.0
92596,2661.0
91203,2659.0
92590,2631.0
93721,2627.0
96145,2597.0
91775,2513.0
92325,2501.0
95458,2466.0
93926,2458.0
94956,2457.0
90814,2449.0
90002,2446.0
95536,2444.0
94065,2430.0
95130,2419.0
96041,2409.0
91040,2387.0
93501,2385.0
90010,2375.0
91390,2365.0
92861,2349.0
92082,2343.0
95451,2335.0
93625,2288.0
95379,2288.0
93247,2279.0
96027,2262.0
92067,2229.0
93702,2221.0
94925,2214.0
93314,2179.0
93430,2174.0
93626,2171.0
95694,2150.0
96118,2149.0
95461,2137.0
