Zip Code,Size AGI,Returns,Joint Returns,AGI,Unemployment Returns,Unemployment Amount,Taxable Income Returns,Taxable Income Amount
90033,50K under 75K,1062,495,63500,118,890,1054,36815
90033,75K under 100K,319,171,27232,49,293,319,18222
90033,100K under 200K,184,129,41928,0,0,182,32382
90033,200K or more,0,0,0,0,0,0,0
90034,1 under 25K,11224,1277,144864,1197,11262,5650,38774
90034,25K under 50K,8394,1592,306056,1074,10135,8144,181758
90034,50K under 75K,4387,1201,268815,390,3553,4353,188705
90034,75K under 100K,2106,885,180533,235,2133,2092,129587
90034,100K under 200K,2297,1425,308188,285,2235,2292,224596
90034,200K or more,826,640,365256,54,445,824,288353
90035,1 under 25K,4627,633,55024,483,4849,2178,14072
90035,25K under 50K,3186,605,116230,479,5198,2981,65780
90035,50K under 75K,2002,543,122977,215,1948,1934,81178
90035,75K under 100K,1227,478,105848,152,1508,1206,72084
90035,100K under 200K,1798,1074,249064,201,1859,1792,174688
90035,200K or more,989,749,449617,78,673,986,345934
90036,1 under 25K,5853,585,72082,664,6714,3090,21617
90036,25K under 50K,4642,761,170485,730,7847,4453,104002
90036,50K under 75K,3015,708,185219,367,3180,2963,129596
90036,75K under 100K,1842,622,160041,216,1959,1826,117455
90036,100K under 200K,2526,1189,344641,321,2494,2512,257819
90036,200K or more,1135,715,737317,81,634,1131,557649
90037,1 under 25K,15191,1900,205561,1519,10216,5202,27770
90037,25K under 50K,5955,1635,204073,595,4938,5507,85350
90037,50K under 75K,1333,553,79056,137,1088,1321,45330
90037,75K under 100K,328,164,27750,39,294,328,17423
90037,100K under 200K,133,88,20659,0,0,133,14744
90037,200K or more,0,0,0,0,0,0,0
90038,1 under 25K,7175,903,95458,786,6177,3210,19871
90038,25K under 50K,3574,841,124601,440,4151,3422,66186
90038,50K under 75K,1050,308,63380,119,1039,1042,43860
90038,75K under 100K,410,133,35489,60,431,409,26338
90038,100K under 200K,363,154,47716,71,595,363,34886
90038,200K or more,105,59,43433,0,0,105,34047
90039,1 under 25K,5531,758,72755,696,6223,2711,18045
90039,25K under 50K,3810,771,138801,605,5931,3646,76199
90039,50K under 75K,2132,623,130174,291,2648,2112,85746
90039,75K under 100K,1288,518,110954,213,1700,1282,75900
90039,100K under 200K,1572,877,213387,273,2039,1570,150556
90039,200K or more,510,333,199686,58,393,510,155663
90040,1 under 25K,2566,418,35272,369,2712,1131,6444
90040,25K under 50K,1623,487,57733,251,2263,1522,25800
90040,50K under 75K,595,291,35657,85,670,593,20349
90040,75K under 100K,235,161,20082,48,411,235,12155
90040,100K under 200K,129,98,16481,0,0,128,11099
90040,200K or more,35,20,18174,0,0,34,13718
90041,1 under 25K,4526,600,56090,521,4520,2102,12994
90041,25K under 50K,3302,785,120295,450,4125,3187,64131
90041,50K under 75K,1860,726,114170,214,2114,1839,71347
90041,75K under 100K,1142,585,98312,155,1389,1140,64885
90041,100K under 200K,1521,1087,206216,211,1583,1515,141235
90041,200K or more,277,235,93745,30,258,277,68856
90042,1 under 25K,12142,1845,160977,1526,12092,5294,30890
90042,25K under 50K,7189,1989,255789,1012,9886,6809,124586
90042,50K under 75K,3219,1245,196589,407,3434,3200,121452
90042,75K under 100K,1654,858,142080,223,1787,1648,93237
90042,100K under 200K,1552,999,203299,185,1566,1552,141567
90042,200K or more,186,138,55556,22,140,186,43353
90043,1 under 25K,9553,825,126093,1227,9610,4002,23193
90043,25K under 50K,5676,895,204675,646,6143,5382,99343
90043,50K under 75K,2656,662,161473,190,1659,2622,93829
90043,75K under 100K,1255,500,107714,97,1076,1251,65827
90043,100K under 200K,1295,807,170521,109,1074,1294,112470
90043,200K or more,244,188,68202,23,216,244,50406
90044,1 under 25K,21493,2203,293126,2238,15128,7876,41840
90044,25K under 50K,9244,2221,321512,996,8327,8608,137396
90044,50K under 75K,2440,869,145993,223,1738,2424,83074
90044,75K under 100K,696,351,59199,52,465,692,37036
90044,100K under 200K,340,212,42234,25,237,339,28257
90044,200K or more,21,0,8012,0,0,21,6206
90045,1 under 25K,5126,511,61224,519,4957,2426,15277
90045,25K under 50K,3612,644,133158,454,4903,3403,74720
90045,50K under 75K,2744,832,169680,247,2416,2696,110049
90045,75K under 100K,1866,837,161710,178,1739,1850,108201
90045,100K under 200K,3306,2347,459184,374,3601,3296,314690
90045,200K or more,1302,1067,517770,86,875,1298,401384
90046,1 under 25K,9662,616,119825,1462,14629,5322,37306
90046,25K under 50K,6996,710,255374,1292,13022,6759,161172
90046,50K under 75K,4045,651,247736,591,5161,3970,174773
90046,75K under 100K,2195,499,188963,317,2650,2172,137100
90046,100K under 200K,2746,924,373933,353,2790,2734,271260
90046,200K or more,1598,734,828195,119,1058,1597,670699
90047,1 under 25K,11354,924,151159,1375,10159,4690,26218
90047,25K under 50K,6704,1072,241221,692,6398,6419,114325
90047,50K under 75K,2985,759,181662,195,1799,2959,104543
90047,75K under 100K,1126,448,96543,87,674,1125,59210
90047,100K under 200K,742,487,93932,68,575,742,62406
90047,200K or more,48,30,13669,0,0,48,9692
90048,1 under 25K,3974,293,48980,438,4461,2072,15167
90048,25K under 50K,2947,368,108272,524,5229,2797,66421
90048,50K under 75K,1925,341,118532,237,2135,1876,82540
90048,75K under 100K,1215,326,105087,139,1127,1192,74308
90048,100K under 200K,1838,705,255070,196,1620,1827,186700
90048,200K or more,1097,605,560362,67,542,1095,449274
90049,1 under 25K,4496,316,49439,355,3947,2304,14941
90049,25K under 50K,2988,374,110637,362,4169,2758,65169
90049,50K under 75K,2238,422,138606,219,1909,2116,92047
90049,75K under 100K,1620,472,139915,141,1353,1544,93466
90049,100K under 200K,3088,1475,435846,210,1879,3010,294406
90049,200K or more,4061,3036,4307545,152,1449,4032,3439108
90056,1 under 25K,1370,79,16612,188,1673,609,3663
90056,25K under 50K,952,127,34860,121,1443,887,18143
90056,50K under 75K,742,133,45668,47,473,716,27328
90056,75K under 100K,472,145,40593,28,336,462,24373
90056,100K under 200K,797,464,109674,64,694,794,70668
90056,200K or more,336,263,128513,0,0,335,98518
90057,1 under 25K,8934,1365,118068,729,5554,3373,18880
90057,25K under 50K,3423,1039,117932,310,2660,3265,57185
90057,50K under 75K,841,327,50218,96,744,840,32080
90057,75K under 100K,294,135,25021,41,326,294,17790
90057,100K under 200K,175,116,22886,0,0,174,16777
90057,200K or more,24,0,7338,0,0,24,5801
90058,1 under 25K,915,139,12210,88,684,287,1419
90058,25K under 50K,288,90,9858,36,266,257,3842
90058,50K under 75K,67,33,4121,0,0,67,2661
90058,75K under 100K,38,0,3307,0,0,38,2615
90058,100K under 200K,32,20,4223,0,0,31,2940
90058,200K or more,39,25,37409,0,0,36,30158
90059,1 under 25K,9726,1066,132265,1004,6895,3278,16999
90059,25K under 50K,4081,1078,142435,461,3836,3761,58219
90059,50K under 75K,1106,435,66386,109,666,1102,36458
90059,75K under 100K,290,129,24681,38,323,287,15069
90059,100K under 200K,126,83,16288,0,0,126,11290
90059,200K or more,0,0,0,0,0,0,0
90061,1 under 25K,6706,738,93730,765,5004,2506,13113
90061,25K under 50K,2955,756,102924,336,2792,2737,43082
90061,50K under 75K,830,302,49288,79,739,826,27845
90061,75K under 100K,253,113,21431,21,231,253,13317
90061,100K under 200K,132,88,21874,0,0,132,15750
90061,200K or more,0,0,0,0,0,0,0
90062,1 under 25K,7634,903,103712,802,6046,3009,17525
90062,25K under 50K,3905,935,137515,411,3509,3621,60416
90062,50K under 75K,1192,458,71518,100,901,1184,41068
90062,75K under 100K,356,196,30166,56,430,356,18486
90062,100K under 200K,154,89,20244,0,0,154,13948
90062,200K or more,0,0,0,0,0,0,0
90063,1 under 25K,11635,2178,164503,1410,9992,4369,23159
90063,25K under 50K,5837,1945,203443,814,7025,5320,84036
90063,50K under 75K,1717,828,102754,220,1692,1707,59449
90063,75K under 100K,501,291,42346,80,780,501,27015
90063,100K under 200K,190,136,31128,0,0,190,22331
90063,200K or more,0,0,0,0,0,0,0
90064,1 under 25K,4029,459,46143,338,3301,1900,12105
90064,25K under 50K,2582,458,94572,320,3655,2408,53376
90064,50K under 75K,1818,492,112280,179,1708,1774,73451
90064,75K under 100K,1172,471,101754,122,1141,1153,67599
90064,100K under 200K,2313,1379,325475,212,1923,2301,223659
90064,200K or more,2019,1606,1436767,122,926,2013,1146153
90065,1 under 25K,8987,1388,119955,1050,8514,3926,23334
90065,25K under 50K,5330,1478,189825,765,7410,5000,91993
90065,50K under 75K,2505,976,153229,301,2659,2477,94422
90065,75K under 100K,1365,681,117677,201,1849,1356,75499
90065,100K under 200K,1793,1225,241038,273,2107,1793,165384
90065,200K or more,397,302,125866,51,331,396,96759
90066,1 under 25K,10018,1273,124887,942,8783,4683,30434
90066,25K under 50K,6707,1501,244148,824,8514,6377,136198
90066,50K under 75K,3875,1124,238949,407,3467,3809,160887
90066,75K under 100K,2423,1090,208715,285,2628,2408,144081
90066,100K under 200K,3444,2277,474291,451,3543,3439,336778
90066,200K or more,1459,1162,566854,139,1204,1457,446383
90067,1 under 25K,642,55,6388,26,243,290,1730
90067,25K under 50K,370,62,13604,31,308,302,6462
90067,50K under 75K,241,46,15217,0,0,217,8393
90067,75K under 100K,206,59,18006,0,0,196,11210
90067,100K under 200K,557,225,80081,23,189,535,51458
90067,200K or more,1107,602,2313472,21,193,1097,1882315
90068,1 under 25K,3700,269,44547,513,5272,1887,13148
90068,25K under 50K,2669,302,97960,509,5159,2509,58944
90068,50K under 75K,1654,301,101675,252,2244,1582,66633
90068,75K under 100K,1137,251,99091,179,1455,1122,68623
90068,100K under 200K,1794,726,249216,259,2172,1785,172732
90068,200K or more,1221,721,605023,84,737,1217,480221
90069,1 under 25K,4127,213,49894,615,6591,2120,14963
90069,25K under 50K,3059,214,113992,558,6564,2900,70610
90069,50K under 75K,2160,184,132965,259,2383,2121,92583
90069,75K under 100K,1429,186,123437,150,1285,1414,88551
90069,100K under 200K,2085,422,285770,189,1494,2067,207428
90069,200K or more,1341,484,1235198,52,389,1333,1007474
90077,1 under 25K,990,106,9774,49,467,459,2559
90077,25K under 50K,484,102,17725,40,462,396,8814
90077,50K under 75K,336,104,20877,41,429,295,11166
90077,75K under 100K,282,115,24688,0,0,270,14655
90077,100K under 200K,721,455,104992,37,414,696,63939
90077,200K or more,1259,1000,1237979,54,574,1245,962320
90094,1 under 25K,538,42,6654,76,775,280,1810
90094,25K under 50K,477,65,17703,67,780,442,10107
90094,50K under 75K,377,55,23598,41,321,367,15629
90094,75K under 100K,338,93,29273,25,311,330,19728
90094,100K under 200K,666,354,94968,69,620,665,65894
90094,200K or more,375,269,141430,33,200,375,110192
90201,1 under 25K,21013,3762,299934,2658,19231,7964,41841
90201,25K under 50K,10724,4131,373542,1444,12156,9884,146387
90201,50K under 75K,2869,1744,171548,436,3079,2855,94899
90201,75K under 100K,718,518,60869,116,836,715,37956
90201,100K under 200K,308,266,37065,38,327,308,24792
90201,200K or more,26,0,9036,0,0,25,6634
90210,1 under 25K,2559,225,26223,137,1366,1245,7591
90210,25K under 50K,1380,237,50750,101,1170,1185,27200
90210,50K under 75K,829,207,50983,44,565,727,29488
90210,75K under 100K,647,255,56340,30,315,576,31762
90210,100K under 200K,1393,735,200141,58,592,1303,117518
90210,200K or more,2931,2088,4910245,53,469,2885,3982972
90211,1 under 25K,1745,202,19604,171,1822,755,4811
90211,25K under 50K,1062,229,39084,137,1636,957,20968
90211,50K under 75K,678,192,41675,71,527,645,26181
90211,75K under 100K,456,165,39618,35,318,445,26723
90211,100K under 200K,704,396,97220,63,509,694,65689
90211,200K or more,599,406,471575,21,151,597,361945
90212,1 under 25K,2293,217,24445,206,2344,1047,6412
90212,25K under 50K,1302,226,47750,190,2197,1193,26931
90212,50K under 75K,943,210,58713,89,879,893,38347
90212,75K under 100K,644,189,55622,37,322,614,37601
90212,100K under 200K,1084,541,152443,77,724,1064,105711
90212,200K or more,1451,934,2447894,39,328,1445,1998768
90220,1 under 25K,11271,1318,155287,1340,9472,4249,22803
90220,25K under 50K,6010,1481,214660,715,6255,5610,93875
90220,50K under 75K,2197,783,132544,227,1739,2182,74047
90220,75K under 100K,741,379,63176,67,660,740,38566
90220,100K under 200K,441,291,54694,65,663,441,37488
90220,200K or more,36,24,41970,0,0,35,36826
90221,1 under 25K,12534,1739,174094,1457,10047,4282,21482
90221,25K under 50K,5964,1838,208577,760,6259,5438,81565
90221,50K under 75K,1669,806,100337,187,1264,1659,53491
90221,75K under 100K,495,297,42041,53,345,492,25115
90221,100K under 200K,256,175,36354,30,285,256,24997
90221,200K or more,0,0,0,0,0,0,0
90222,1 under 25K,7386,915,101705,834,5758,2594,13497
90222,25K under 50K,3510,1049,123369,409,3695,3224,49702
90222,50K under 75K,1035,395,61894,107,842,1033,34503
90222,75K under 100K,333,160,28478,39,348,333,17730
90222,100K under 200K,138,82,18057,0,0,138,12164
90222,200K or more,0,0,0,0,0,0,0
90230,1 under 25K,4983,676,61445,490,4532,2216,13837
90230,25K under 50K,3346,768,121795,420,4496,3141,63067
90230,50K under 75K,2471,723,153381,250,2413,2433,96727
90230,75K under 100K,1529,642,132118,147,1412,1524,89155
90230,100K under 200K,2419,1673,328731,282,2448,2418,230715
90230,200K or more,652,505,244551,52,526,651,190228
90232,1 under 25K,2707,312,33503,283,2836,1334,8550
90232,25K under 50K,1997,443,72587,290,3238,1882,40243
90232,50K under 75K,1230,366,75847,109,974,1212,50459
90232,75K under 100K,776,377,67123,83,722,770,46271
90232,100K under 200K,1104,743,151803,151,1179,1100,108016
90232,200K or more,429,340,760707,39,296,429,528101
90240,1 under 25K,4363,679,56579,455,3699,1947,11303
90240,25K under 50K,2654,785,95714,321,3156,2447,44775
90240,50K under 75K,1581,708,97675,168,1748,1550,55335
90240,75K under 100K,945,629,81848,113,912,943,49323
90240,100K under 200K,1257,1025,168184,117,996,1252,109885
90240,200K or more,261,217,101966,0,0,259,72748
90241,1 under 25K,8024,1176,107010,983,8520,3591,21006
90241,25K under 50K,5147,1385,186540,664,6237,4846,91703
90241,50K under 75K,2628,1117,160824,315,2804,2604,96306
90241,75K under 100K,1379,880,118608,155,1388,1376,74716
90241,100K under 200K,1499,1213,198001,156,1336,1494,131569
90241,200K or more,227,192,101603,0,0,224,74206
90242,1 under 25K,7697,1143,103378,978,7780,3422,19706
