Zip Code,Tax Returns,AGI thousands
92347,482.00,18119.00
92354,8941.00,520279.00
92356,1947.00,63416.00
92358,327.00,14130.00
92359,3491.00,158429.00
92363,1898.00,73278.00
92365,737.00,28553.00
92368,309.00,10134.00
92371,3407.00,143338.00
92372,1881.00,91642.00
92373,15108.00,1216806.00
92374,16548.00,887113.00
92376,30836.00,978361.00
92377,9420.00,429796.00
92392,20081.00,828178.00
92394,10733.00,397866.00
92395,15228.00,820131.00
92397,2293.00,143365.00
92399,21142.00,1202337.00
92401,714.00,15844.00
92404,21586.00,713513.00
92405,10918.00,333224.00
92407,20727.00,833646.00
92408,5008.00,156355.00
92410,16594.00,395442.00
92411,9268.00,225172.00
92501,8016.00,321875.00
92503,33346.00,1463196.00
92504,21181.00,926496.00
92505,18297.00,720184.00
92506,19563.00,1471874.00
92507,18822.00,714600.00
92508,13298.00,873499.00
92509,28370.00,1060770.00
92518,590.00,42863.00
92530,18051.00,721228.00
92532,6889.00,386613.00
92536,1394.00,67516.00
92539,1531.00,56576.00
92543,11163.00,334384.00
92544,16306.00,720055.00
92545,15015.00,614230.00
92548,2208.00,69900.00
92551,11758.00,427671.00
92553,26525.00,836418.00
92555,14680.00,740832.00
92557,20219.00,887319.00
92561,523.00,35168.00
92562,24669.00,1691220.00
92563,22152.00,1261137.00
92567,3449.00,151585.00
92570,17759.00,601935.00
92571,18511.00,654385.00
92582,5392.00,230837.00
92583,10290.00,355203.00
92584,15721.00,857701.00
92585,7312.00,340501.00
92586,9164.00,352954.00
92587,6708.00,403690.00
92590,1710.00,142162.00
92591,15881.00,943869.00
92592,28158.00,2072660.00
92595,12437.00,608502.00
92596,8558.00,501165.00
92602,9263.00,887692.00
92603,8543.00,1875994.00
92604,12279.00,924315.00
92606,8879.00,735635.00
92610,4702.00,456435.00
92612,10771.00,989318.00
92614,11333.00,1186431.00
92617,3237.00,283459.00
92618,8896.00,961594.00
92620,17367.00,1786515.00
92624,3602.00,274673.00
92625,6798.00,1605589.00
92626,23182.00,1477381.00
92627,28284.00,1376679.00
92629,13747.00,1378201.00
92630,28289.00,1842183.00
92637,9581.00,446466.00
92646,27267.00,2050509.00
92647,26278.00,1536288.00
92648,22684.00,2292516.00
92649,16779.00,1615282.00
92651,12004.00,2964214.00
92653,14302.00,1407794.00
92655,3383.00,107962.00
92656,22780.00,1907880.00
92657,4416.00,1980492.00
92660,16731.00,3635327.00
92661,1947.00,321489.00
92662,1524.00,190623.00
92663,11027.00,1396328.00
92672,17416.00,1299066.00
92673,12277.00,1508265.00
92675,15397.00,1503181.00
92676,909.00,73767.00
92677,29636.00,3163371.00
92679,13581.00,2259407.00
92683,39298.00,1715190.00
92688,19594.00,1566798.00
92691,22200.00,1555283.00
92692,22109.00,1968497.00
92694,8492.00,1128022.00
92701,19430.00,544657.00
92703,25149.00,697070.00
92704,37299.00,1251203.00
92705,20073.00,1978433.00
92706,15060.00,665605.00
92707,26422.00,884917.00
92708,26057.00,1748688.00
92780,24874.00,1216828.00
92782,10772.00,1220976.00
92801,27124.00,950138.00
92802,16834.00,642825.00
92804,34429.00,1306972.00
92805,27820.00,1044765.00
92806,16780.00,786962.00
92807,17138.00,1456834.00
92808,8863.00,854007.00
92821,16964.00,1119334.00
92823,1542.00,135273.00
92831,14360.00,863087.00
92832,10075.00,436483.00
92833,21331.00,1204267.00
