Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
95135,20120,9630,10490,43.5,42.9,44.1
95136,42989,21069,21920,34.8,34.3,35.4
95138,18889,9223,9666,36.7,36.9,36.4
95139,6748,3394,3354,37.4,36.9,37.9
95140,191,110,81,47.3,48,46.8
95148,45528,22756,22772,36.6,35.9,37.3
95202,6521,3279,3242,35.8,36,35.6
95203,15696,8150,7546,32,31.7,32.2
95204,27786,13269,14517,37.6,35.4,39.5
95205,38069,19648,18421,27.6,27.1,28.3
95206,65004,32466,32538,27.7,26.6,28.9
95207,47965,22686,25279,31.9,29.9,33.9
95209,39488,19105,20383,35.5,33.5,37.4
95210,39009,18906,20103,29.1,27.7,30.4
95211,1545,694,851,19.6,19.6,19.5
95212,25239,12493,12746,32.6,31.6,33.5
95215,23224,12143,11081,31.8,30.2,33.7
95219,27884,13417,14467,36,35,36.8
95220,7273,3693,3580,42.3,41.1,43.3
95222,5292,2583,2709,47.9,46.9,48.8
95223,4612,2376,2236,54.5,54.4,54.6
95224,429,227,202,46.9,44.4,48.7
95225,672,340,332,47.8,48,47.7
95226,84,42,42,42,41.7,43
95227,941,477,464,47.7,47.3,48.4
95228,3976,2009,1967,46.8,46.4,47.3
95230,718,362,356,40.4,41.4,37.9
95231,4374,2720,1654,30.5,29.5,32.8
95232,304,146,158,53.3,54.5,53
95233,436,220,216,49,50.3,47.7
95234,70,40,30,25.5,29,20.5
95236,4223,2112,2111,37.8,38.1,37.6
95237,3167,1644,1523,39.8,37.1,42.8
95240,47172,23396,23776,32.5,31.2,33.7
95242,25393,12279,13114,41.5,39.9,43
95245,2277,1149,1128,52.6,52.7,52.4
95246,1615,837,778,55.5,55.2,55.8
95247,4368,2131,2237,54.3,52.6,55.9
95248,301,138,163,53.3,53.5,52.8
95249,4042,2006,2036,46.6,41.9,50.5
95250,78,41,37,57.5,61.5,55.5
95251,767,367,400,47,46.6,47.6
95252,13460,6807,6653,45.1,44.8,45.3
95254,480,228,252,48.8,50.4,46
95255,2042,1016,1026,52.9,52.7,53.1
95257,413,202,211,53,54.3,52.3
95258,4018,1978,2040,42.9,42.5,43.5
95301,37073,19002,18071,31.8,30.8,33
95303,912,472,440,30.9,31.3,30.6
95304,15706,9805,5901,37.2,36.3,38.8
95305,245,124,121,49.1,48.3,49.5
95306,970,507,463,48.4,48.8,47.8
95307,42753,21163,21590,30,29.2,30.8
