Zip Code,Pills
95468,1271880
95070,1244800
95987,1244010
90275,1222890
92582,1213140
93626,1210170
96041,1209850
91733,1197180
95135,1195480
90062,1193890
95379,1193100
95365,1189500
94108,1187510
95454,1181430
90814,1175600
94956,1164180
90221,1163220
91354,1158660
92679,1158020
93460,1154240
92093,1153383
91789,1142250
93223,1142000
96027,1135800
95536,1132400
95694,1130030
93241,1112190
90716,1107180
92620,1099910
93314,1096980
95322,1092150
95358,1078340
90746,1072748
96145,1071630
91203,1069950
94105,1049370
95460,1040810
91775,1014530
91108,1013000
94111,1006490
95959,988485
95381,987200
90304,978630
94925,977700
93203,976260
92251,972920
91776,972210
95973,952730
90010,941690
92625,934730
92173,925260
93510,922400
95130,919840
93625,900680
91739,896100
94707,893960
90001,887500
96028,862600
90604,856900
94104,855620
90005,852640
92082,849230
93622,844200
93926,830700
92614,806880
96039,797930
93430,787380
93204,787000
92861,767340
92410,751500
95436,739060
91390,736380
95334,728070
95054,719880
93271,711000
91003,706180
95669,688130
96118,681100
93656,674800
95467,665560
93465,647303
94143,644300
94065,631000
91746,628900
93434,627200
95685,623900
92114,623120
90014,599100
91024,597890
93609,591830
93648,578600
93250,562900
90704,559920
95110,550200
92067,550160
95113,546910
92250,545400
93545,542560
93921,532300
95236,525400
90222,522070
92603,520400
91913,515600
95221,515400
94515,512800
96137,511400
95445,501700
92139,500400
90065,498584
95827,489830
92657,485990
94518,476100
91210,464520
92004,464410
90293,459320
93640,457020
90270,444920
90063,430615
95757,419560
90402,418960
91605,399120
94618,391600
90715,390060
90077,376990
94582,375980
93646,374700
95046,346000
94514,340500
95012,329600
95673,328400
93235,316000
92661,303360
90302,274980
95134,261040
90040,243450
93730,227406
92803,221500
91906,221400
93636,219130
94805,217200
95713,205750
90058,198990
90032,192300
91914,178035
95415,176400
93106,174700
95832,171600
90089,158540
92254,148100
92401,141300
95131,141024
90305,122900
93660,116000
94303,109600
95929,106200
92182,106100
93615,104400
90003,85100
90021,81900
93407,72200
94920,71300
93035,71300
95389,68650
96146,53600
95671,51820
95192,49200
93740,49040
92521,45000
94942,44500
90748,43560
94305,43075
94542,42500
93456,40100
92624,39010
91008,35500
92003,33400
95065,29730
91207,29235
90702,28300
91377,24430
94930,24300
95936,21960
93243,19700
95696,19600
90094,18515
91330,17900
92055,16775
93908,15700
93265,15500
92662,15440
94085,14740
95310,13000
91962,12240
93725,12230
91935,12000
95567,11700
93424,11000
93539,10860
95631,10500
95215,10170
93647,8500
95604,8430
92715,8400
91501,8000
92247,7980
95646,7800
92834,7500
91978,7400
90822,7005
96062,6500
94125,6400
94027,6372
96162,6280
94923,6100
92405,5760
92515,5660
92350,5600
95001,5500
90290,5200
94038,5000
95327,4980
93022,4800
93924,4300
95319,4200
92669,4200
90073,4100
92375,3750
95139,3700
94592,3600
90018,3480
94552,3430
93920,3400
92091,3400
96056,3300
94720,3300
93409,3200
93619,3180
95258,3100
93234,3000
94963,3000
90742,3000
93604,3000
95465,2700
94060,2700
94028,2600
92036,2580
