Zip Code,Population Density
93725,382
93726,6344
93727,2209
93728,5145
93730,1312
93901,1839
93905,6564
93906,4548
93907,403
93908,61
93920,4
93921,3649
93923,94
93924,33
93925,31
93926,147
93927,66
93928,26
93930,44
93932,6
93933,1743
93940,1539
93943,35
93950,5251
93953,561
93954,8
93955,1181
93960,133
93962,5509
94002,4589
94005,974
94010,3442
94014,7454
94015,10576
94019,350
94020,28
94021,42
94022,1058
94024,3066
94025,3448
94027,1364
94028,429
94030,6359
94037,503
94038,1929
94040,8945
94041,8689
94043,2657
94044,2543
94060,21
94061,9391
94062,365
94063,4539
94065,4660
94066,6706
94070,4749
94074,12
94080,6224
94085,6088
94086,10187
94087,8248
94089,3212
94102,46472
94103,20036
94104,5232
94105,15826
94107,14845
94108,50983
94109,47129
94110,29816
94111,10791
94112,23606
94114,21837
94115,29596
94116,16901
94117,23211
94118,19663
94121,13370
94122,23699
94123,22622
94124,6901
94127,10895
94128,20
94129,1381
94130,3196
94131,12926
94132,9045
94133,34749
94134,17001
94158,7288
94301,7161
94303,5710
94304,558
94305,2703
94306,6322
94401,10943
94402,4934
94403,7040
94404,7923
94501,7593
94502,5074
94503,1519
94505,824
94506,1195
94507,1173
94508,210
94509,3800
94510,969
94511,384
94512,5
94513,722
94514,47
94515,67
94516,241
94517,216
94518,4925
94519,4221
94520,3688
94521,3182
94523,4640
94525,1329
94526,2083
94528,411
94530,4945
94531,3678
94533,3207
94534,460
94535,995
94536,4717
94538,3715
94539,1968
94541,8296
94542,2229
94544,6665
94545,1379
94546,4479
94547,4427
94548,149
94549,1399
94550,202
94551,467
94552,322
94553,962
94555,2941
94556,1243
94558,188
94559,742
94560,3084
94561,2157
94563,1024
94564,3271
94565,2803
94566,2085
94567,5
94568,3011
94569,84
94571,67
94572,2000
94573,94
94574,68
94575,5815
94576,444
94577,5591
94578,8755
94579,6567
94580,7875
94582,2965
94583,2331
94585,251
94586,16
94587,3525
94588,945
94589,2607
94590,5959
94591,2458
94592,175
94595,3054
94596,3359
94597,5180
94598,1693
94599,1030
94601,15487
94602,8574
94603,9630
94605,4356
94606,16037
94607,4235
94608,10235
94609,12057
94610,13410
94611,3462
94612,16899
94613,2820
94618,6616
94619,1489
94621,3840
94702,12543
94703,14852
94704,23930
94705,3862
94706,13287
94707,6907
94708,3239
94709,20084
94710,3233
94720,4761
94801,2606
94803,2134
94804,6241
94805,6873
94806,7183
94850,0
94901,3127
94903,1448
94904,1656
94920,1910
94922,34
94923,66
94924,71
94925,2925
94928,5604
94929,249
94930,534
94931,1333
94933,790
94937,20
94938,77
94939,3208
94940,12
94941,1372
94945,660
94946,16
94947,1070
94949,1145
94950,10
94951,281
94952,182
94954,603
94956,30
94957,1164
94960,2653
94963,214
94964,13067
94965,802
94970,98
94971,27
94972,4
94973,359
95002,173
95003,682
95004,216
95005,528
95006,168
95007,1181
95008,7086
95010,6658
95012,691
95013,52
95014,2255
95017,17
95018,414
95019,6364
95020,368
95023,118
95030,1225
95032,1579
95033,102
95035,2880
95037,187
95039,93
95041,3951
95043,1
95045,85
95046,329
95050,6808
95051,8159
95053,12925
95054,3730
95060,684
95062,7148
95064,3908
95065,725
95066,778
95070,1201
95073,479
95075,4
95076,604
95110,4014
95111,10840
95112,7885
95113,2618
95116,14382
95117,11693
95118,7703
95119,3524
95120,942
95121,8454
95122,11857
95123,7481
95124,7167
95125,6488
95126,9459
95127,4713
95128,8923
95129,8581
95130,8930
95131,4913
95132,791
95133,7982
95134,1610
95135,658
95136,9082
95138,725
95139,5482
95140,2
95148,4831
95202,6049
95203,2544
95204,5448
95205,4188
95206,449
95207,6610
95209,4711
95210,5892
95211,10208
95212,1170
95215,245
95219,490
95220,126
95222,35
95223,16
95224,38
95225,96
95226,15
95227,25
95228,37
95230,6
95231,413
95232,38
95233,62
95234,2
95236,39
95237,397
95240,570
95242,264
95245,33
95246,31
95247,105
95248,9
95249,48
95250,7
95251,70
95252,110
95254,87
95255,46
95257,27
95258,1247
95301,595
95303,23
95304,99
95305,17
95306,7
95307,1276
95310,48
95311,9
95312,273
95313,27
95314,0
95315,713
95316,98
95317,15
95318,14
95319,2820
95320,145
95321,21
95322,51
95323,41
95324,178
95325,2
95326,331
95327,62
95328,3834
95329,23
95330,830
95333,25
95334,276
95335,13
95336,1114
95337,693
95338,33
95340,854
95341,220
95345,22
95346,212
95348,648
95350,5749
95351,5238
95354,3459
95355,6145
95356,1446
95357,300
95358,263
95360,35
95361,136
95363,214
95364,0
95365,329
95366,482
95367,5055
95368,4140
95369,7
95370,260
95372,733
95374,44
95375,35
95376,6530
95377,286
95379,72
95380,549
95382,3446
95383,50
95385,17
95386,116
95387,5
95388,337
95389,5
95391,419
95401,1793
95403,2052
95404,497
95405,3907
95407,1735
95409,708
95410,24
95412,5
95415,29
95417,4
95420,186
95421,7
95422,442
95423,36
95425,53
95426,106
95427,7
95428,11
95429,2
95430,185
95431,8311
95432,6
95435,532
95436,236
95437,151
95439,247
95441,20
95442,130
95443,56
95444,2764
95445,24
95446,144
95448,89
95449,12
95450,14
95451,117
95452,97
95453,134
95454,10
95456,79
95457,19
95458,63
95459,8
95460,84
95461,27
95462,241
95463,15
95464,804
95465,50
95466,10
95467,560
95468,19
95469,10
95470,73
95471,362
95472,409
95476,316
95482,102
95485,24
95486,3201
95488,3
95490,34
95492,1499
95493,44
95494,1
95497,81
95501,3403
95503,279
95511,6
95514,3
95519,307
95521,378
95524,171
95525,21
95526,3
95527,5
95528,11
95531,126
95536,19
95537,1548
95540,492
95542,13
95543,8
95545,3
95546,26
95547,162
95548,16
95549,7
95550,1
95551,41
95552,1
95553,18
95554,11
95555,5
95556,4
95558,2
95559,10
95560,49
95562,140
95563,11
95564,139
95565,32
95567,31
95568,2
95569,6
95570,109
95571,359
95573,15
95585,9
95587,15
95589,9
95595,1
95601,113
95602,355
95603,713
95604,187
95605,3636
95606,5
95607,3
95608,4556
95610,5638
95612,22
95614,108
95615,36
95616,1707
95618,781
95619,806
95620,85
95621,5863
95623,73
95624,1409
95625,134
95626,257
95627,68
95628,3151
95629,18
95630,2617
95631,40
95632,264
95633,81
95634,40
95635,62
95636,9
95637,18
95638,29
95639,62
95640,98
95641,45
95642,108
95645,16
95646,41
95648,335
95650,505
95651,55
95652,196
95653,102
95655,455
95658,253
95659,14
95660,4925
95661,3309
95662,2903
95663,298
95664,37
95665,218
95666,96
95667,212
95668,13
95669,28
95670,4220
95672,211
95673,953
95674,29
95675,553
95677,2635
95678,3792
95679,1
95680,73
95681,71
95682,359
95683,68
95684,24
95685,95
95686,52
95687,1496
95688,423
95689,45
95690,44
95691,837
95692,88
95693,108
95694,61
95695,267
95697,1834
95698,5
95699,38
95701,29
95703,202
95709,214
95713,133
95714,114
95715,4
95717,23
95720,1
95721,3
95722,420
95724,23
95726,119
95728,31
95735,3
95736,957
95742,156
95746,1215
95747,1113
95757,665
95758,4711
95762,940
95765,2742
95776,237
95811,2727
