Zip Code,Death Rate
92612,3.43
92614,6.31
92617,0
92618,0
92620,9.04
92624,15.29
92625,0
92626,3.33
92627,12.06
92629,27.42
92630,7.48
92637,5.02
92646,8.61
92647,1.55
92648,5.65
92649,3.09
92651,15.71
92653,3.7
92655,35.82
92656,4.51
92657,0
92660,9.45
92661,0
92662,0
92663,10.08
92672,14.19
92673,30.5
92675,21.74
92676,62.42
92677,23.31
92679,8.76
92683,3.94
92688,9.19
92691,13.72
92692,14.74
92694,0
92697,0
92701,10.38
92703,6.38
92704,1.25
92705,4.69
92706,3.02
92707,4.12
92708,4.86
92780,13.06
92782,3.88
92801,13.1
92802,2.61
92804,10.66
92805,7.68
92806,5.68
92807,0
92808,3.68
92821,2.03
92823,0
92831,0
92832,12.07
92833,5.96
92835,3.11
92840,7.91
92841,5.9
92843,0
92844,10.83
92845,9.22
92861,11.18
92862,0
92865,9.89
92866,6.14
92867,0
92868,4.15
92869,2.48
92870,3.94
92886,6.18
92887,9.3
95602,0
95603,5.85
95631,8.06
95648,2.78
95650,0
95658,0
95661,2.78
95663,0
95677,2.82
95678,4.37
95681,0
95701,0
95703,0
95713,0
95714,0
95715,0
95717,0
95722,0
95724,0
95746,0
95747,2.13
95765,3.6
96140,0
96141,0
96142,0
96143,0
96145,0
96146,0
96148,0
28,0
31,0
95915,0
95923,0
95934,0
95947,114.63
95956,0
95971,12.18
95981,0
95983,0
95984,0
96020,65.33
96103,0
96105,273.25
96106,0
96114,0
96122,36.62
96129,403.31
96135,0
96137,36.58
91752,0
92201,1.37
92203,0
92210,0
92211,12.17
92220,3.33
92223,4.97
92225,3.71
92230,0
92234,8.09
92236,0
92239,0
92240,8.37
92241,11.44
92253,4.45
92254,0
92260,0
92262,16.25
92264,0
92270,0
92276,0
92282,0
92320,24.04
92373,2.37
92501,0
92503,1.13
92504,1.95
92505,1.67
92506,0
92507,4.68
92508,0
92509,1.72
92518,0
92521,0
92530,1.92
92532,0
92536,0
92539,0
92543,11.23
92544,1.86
92545,5.46
92548,0
92549,0
92551,7.1
92553,5.58
92555,4.56
92557,3.88
92561,0
92562,1.34
92563,4.06
92567,13.88
92570,4.33
92571,0
92582,7.16
92583,9.71
92584,2.28
92585,0
92586,12.41
92587,0
92590,0
92591,2.49
92592,1.65
92595,0
92596,4.52
92675,21.74
92860,0
92879,0
92880,0
92881,4.64
92882,3.07
92883,4.54
94561,4.85
94571,0
95608,13.86
95610,9.36
95615,0
95621,11.53
95624,0
95626,16.66
95628,1.28
95630,3.42
95632,0
95638,32.07
95641,44.52
95652,0
95655,0
95660,12.24
95662,3.56
95670,5.05
95673,7.49
95683,0
95690,0
95693,8.52
95742,0
95757,0
95758,5.33
95811,9.81
95814,0
95815,18.15
95816,9.65
95817,7.09
95818,0
95819,12.93
95820,3.5
95821,0
95822,3.32
95823,5.96
95824,0
95825,2.75
95826,0
95827,7.84
95828,0
95829,4.88
95830,0
95831,1.77
95832,0
95833,1.96
95834,0
95835,0
95836,0
95837,0
95838,8.07
95841,3.69
95842,6.68
95843,2.32
95864,0
95004,50.06
95023,6.13
95043,0
95045,0
91701,3.4
91708,0
91709,0
91710,3.46
91730,1.52
91737,5.59
91739,0
91759,0
91761,1.47
91762,1.5
91763,2.99
91764,0
91766,1.36
91784,0
91786,3.79
92242,0
92252,6.2
92256,0
92267,0
92277,0
92278,0
92280,0
92284,4.23
92285,15.39
92301,3.79
92304,0
92305,0
92307,3.99
92308,4.49
92309,0
92310,0
92311,0
92313,0
92314,13.77
92315,0
92316,0
92317,0
92321,0
92322,0
92324,1.76
92325,9.27
92327,0
92332,0
92335,1.25
92336,0
92337,0
92338,0
92339,0
92342,14.25
92344,0
92345,2.35
92346,1.89
92347,45.71
92350,0
92352,0
92354,0
92356,0
92358,0
92359,0
92363,0
92364,0
92365,0
92368,0
92371,4.22
92372,0
92374,2.59
92376,1.35
92377,0
92382,23.25
92385,0
92392,4.24
92394,3.6
92395,4.49
92397,0
92399,6.29
92401,0
92404,1.8
92405,3.48
92407,5.86
92408,0
92410,5.19
92411,0
93555,2.15
93562,0
91901,7.02
91902,0
91905,0
91906,0
91910,0
91911,4.86
91913,0
91914,0
91915,0
91916,0
91917,0
91932,6.62
91934,0
91935,0
91941,2.05
91942,5.29
91945,6.49
91950,3.93
91962,0
91963,0
91977,5.11
91978,0
91980,0
92003,19.28
92004,0
92007,0
92008,3.03
92009,3.77
92010,12.55
92011,6.3
92014,0
92019,1.6
92020,6.73
92021,16.62
92024,11.45
92025,0
92026,17.62
92027,1.77
92028,5.27
92029,5.65
92036,0
92037,2.73
92040,16.29
92054,16.37
92055,5.2
92056,2.92
92057,3.9
92058,3.87
92059,0
92061,0
92064,4.49
92065,3.45
92066,0
92067,0
92069,12.74
92070,0
92071,10.35
92075,0
92078,10.07
92081,7.37
92082,3.67
92083,4.77
92084,8.02
92086,0
92091,0
92096,0
92101,29.84
92102,7.78
92103,2.04
92104,8.52
92105,4.57
92106,0
92107,9.33
92108,7.53
92109,2.18
92110,14.85
92111,4.66
92113,2.5
92114,3.23
92115,13.56
92116,11.29
92117,9.66
92118,5.07
92119,11.29
92120,12.56
92121,0
92122,8.13
92123,3.46
92124,4.05
92126,2.81
92127,6.54
92128,2.35
92129,5.21
92130,4.41
92131,2.79
92134,0
92135,0
92136,0
92139,6.77
92140,0
92145,0
92152,0
92154,0.96
92155,0
92173,0
92182,0
92672,14.19
94102,48.33
94103,43.36
94104,117.67
94105,0
94107,4.07
94108,0
94109,11.48
94110,15.46
94111,44.03
94112,4.48
94114,11.78
94115,3.7
94116,1.83
94117,7.32
94118,2.98
94121,3.7
94122,2.85
94123,18
94124,21.08
94127,8.27
94129,0
94130,25.28
94131,5.16
94132,5.03
94133,7.54
94134,9.85
94158,0
95202,53.66
95203,6.35
95204,17.52
95205,12.41
95206,6.61
95207,6.77
95209,4.26
95210,4.7
95211,0
95212,0
95215,35.97
95219,11.12
95220,0
95231,0
95236,0
95237,0
95240,12.47
95242,16.17
95258,0
95304,10.69
95320,15.69
95330,0
95336,11.07
95337,5.81
95366,0
95376,11.53
95377,6.01
95391,0
93251,0
93401,4.18
93402,0
93405,3.44
93407,0
93420,12.7
93422,12.58
93428,0
93430,0
93432,0
93433,18.29
93442,0
93444,10.32
93445,16.32
93446,2.63
93449,0
93452,0
93453,0
93461,0
93465,16.38
94002,3.37
94005,20.92
94010,1.92
94014,3.36
94015,0
94019,0
94020,0
94021,0
94025,3.66
94027,0
94028,0
94030,3.02
94038,0
94044,0
94060,0
94061,0
94062,2.96
94063,0
94065,23.24
94066,2.18
94070,2.95
94074,0
94080,3.56
94128,0
94303,0
94401,0
94402,0
94403,0
94404,0
32,0
57,0
61,0
93013,0
93067,0
93101,0
93103,0
93105,0
93106,0
93108,0
93109,0
93110,4.07
93111,6.14
93117,0
93252,0
93254,0
93427,0
93429,0
93434,0
93436,0
93437,0
93441,0
93454,6.56
93455,0
93458,3.38
93460,32.92
93463,0
93635,3
94022,0
94024,0
94035,0
94040,0
94041,0
94043,2.21
94085,0
94086,1.19
94087,0
94089,5.25
94301,4.36
94304,0
94305,0
94306,3.11
95002,0
95008,3.56
95013,0
95014,0
95020,1.64
95030,0
95032,0
95033,5.35
95035,5.39
95037,1.72
95046,0
95050,5.66
95051,0
95053,0
95054,0
95070,4.17
95110,5.61
95111,3.95
95112,2.82
95113,0
95116,4.4
95117,0
95118,3.13
95119,0
95120,0
95121,6.69
95122,4.31
95123,1.38
95124,5.26
95125,1.62
95126,7.61
95127,1.49
95128,3.55
95129,0
95130,0
95131,0
95132,0
95133,0
95134,0
95135,0
95136,2.2
95138,0
95139,0
95140,0
95141,0
95148,0
95192,0
95003,1.86
95005,0
95006,25.53
95010,13.4
95017,0
95018,7.68
95019,0
95060,13.93
95062,11.5
95064,0
95065,12.12
95066,0
95073,0
95076,0
96001,10.7
96002,11.02
96003,21
96007,5.44
96008,0
96013,0
96016,0
96019,10.96
96028,0
96033,0
96040,0
96047,42.17
96051,0
96062,0
96065,0
96069,0
96071,0
96073,0
96076,0
96087,0
96088,0
96096,0
33,0
65,0
95910,0
95922,0
95936,0
95944,0
95960,0
96118,91.08
96124,0
96125,0
96126,0
34,0
35,0
49,0
95568,0
96014,0
96023,0
96025,75.48
96027,71.05
96031,0
96032,0
96034,0
96038,0
96039,0
96044,0
96050,0
96057,0
96058,0
96064,43.34
96067,19.67
96085,0
96086,0
96094,11.53
96097,10.42
96134,0
94510,4.29
94512,0
94533,3.26
94534,8.94
94535,0
94571,0
94585,4.41
94589,2.29
94590,5.56
94591,0
94592,0
95616,4.06
95618,11.03
95620,10.56
95687,3.45
95688,8.84
95690,0
95694,0
94922,0
94923,0
94928,6.81
94931,0
94951,22.48
94954,10.03
94972,0
95401,7.04
95403,14.17
95404,13.41
95405,25.23
95407,12.89
95409,0
95412,0
95421,0
95425,23.3
95436,22.37
95439,0
95441,0
95442,0
95444,0
95446,0
95448,0
95450,0
95452,0
95462,0
95465,0
95472,10.83
95476,3.83
95480,0
95492,7.2
95497,0
95230,0
